000001.SZ-----鱼跃龙门  佛系翻倍-------------平安银行
002546.SZ-----鱼跃龙门  佛系翻倍-------------新联电子
002548.SZ-----鱼跃龙门  佛系翻倍-------------金新农
002550.SZ-----鱼跃龙门  佛系翻倍-------------千红制药
002552.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----宝鼎科技
002554.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----惠博普
002556.SZ-----鱼跃龙门  佛系翻倍-------------辉隆股份
002561.SZ-----鱼跃龙门  佛系翻倍-------------徐家汇
002562.SZ-----鱼跃龙门  佛系翻倍-------------兄弟科技
002565.SZ-----鱼跃龙门  佛系翻倍-------------顺灏股份
002566.SZ-----鱼跃龙门  佛系翻倍-------------益盛药业
002568.SZ-----鱼跃龙门  佛系翻倍-------------百润股份
002581.SZ-----鱼跃龙门  佛系翻倍-------------未名医药
002583.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----海能达
002616.SZ-----鱼跃龙门  佛系翻倍-------------长青集团
002623.SZ-----鱼跃龙门  佛系翻倍-------------亚玛顿
002628.SZ-----鱼跃龙门  佛系翻倍-------------成都路桥
002635.SZ-----鱼跃龙门  佛系翻倍-------------安洁科技
002644.SZ-----鱼跃龙门  佛系翻倍-------------佛慈制药
002646.SZ-----鱼跃龙门  佛系翻倍-------------青青稞酒
002653.SZ-----鱼跃龙门  佛系翻倍-------------海思科
002657.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中科金财
002658.SZ-----鱼跃龙门  佛系翻倍-------------雪迪龙
002661.SZ-----鱼跃龙门  佛系翻倍-------------克明食品
002673.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----西部证券
002693.SZ-----鱼跃龙门  佛系翻倍-------------双成药业
002695.SZ-----鱼跃龙门  佛系翻倍-------------煌上煌
002697.SZ-----鱼跃龙门  佛系翻倍-------------红旗连锁
002701.SZ-----鱼跃龙门  佛系翻倍-------------奥瑞金
002709.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----天赐材料
002714.SZ-----鱼跃龙门  佛系翻倍-------------牧原股份
002718.SZ-----鱼跃龙门  佛系翻倍-------------友邦吊顶
002723.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----金莱特
002731.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----萃华珠宝
002732.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----燕塘乳业
002734.SZ-----鱼跃龙门  佛系翻倍-------------利民股份
002746.SZ-----鱼跃龙门  佛系翻倍-------------仙坛股份
002748.SZ-----鱼跃龙门  佛系翻倍-------------世龙实业
002750.SZ-----鱼跃龙门  佛系翻倍-------------龙津药业
600004.SH-----鱼跃龙门  佛系翻倍-------------强势股票----白云机场
600011.SH-----鱼跃龙门  佛系翻倍-------------强势股票----华能国际
600012.SH-----鱼跃龙门  佛系翻倍-------------强势股票----皖通高速
600017.SH-----鱼跃龙门  佛系翻倍-------------日照港
600020.SH-----鱼跃龙门  佛系翻倍-------------强势股票----中原高速
600023.SH-----鱼跃龙门  佛系翻倍-------------强势股票----浙能电力
600027.SH-----鱼跃龙门  佛系翻倍-------------华电国际
600029.SH-----鱼跃龙门  佛系翻倍-------------强势股票----南方航空
600033.SH-----鱼跃龙门  佛系翻倍-------------福建高速
600039.SH-----鱼跃龙门  佛系翻倍-------------四川路桥
600059.SH-----鱼跃龙门  佛系翻倍-------------古越龙山
600060.SH-----鱼跃龙门  佛系翻倍-------------海信视像
600062.SH-----鱼跃龙门  佛系翻倍-------------华润双鹤
600067.SH-----鱼跃龙门  佛系翻倍-------------冠城大通
600073.SH-----鱼跃龙门  佛系翻倍-------------上海梅林
600077.SH-----鱼跃龙门  佛系翻倍-------------宋都股份
600080.SH-----鱼跃龙门  佛系翻倍-------------强势股票----金花股份
600082.SH-----鱼跃龙门  佛系翻倍-------------海泰发展
600088.SH-----鱼跃龙门  佛系翻倍-------------中视传媒
600094.SH-----鱼跃龙门  佛系翻倍-------------大名城
600098.SH-----鱼跃龙门  佛系翻倍-------------强势股票----广州发展
600101.SH-----鱼跃龙门  佛系翻倍-------------强势股票----明星电力
600103.SH-----鱼跃龙门  佛系翻倍-------------强势股票----青山纸业
600108.SH-----鱼跃龙门  佛系翻倍-------------亚盛集团
600109.SH-----鱼跃龙门  佛系翻倍-------------强势股票----国金证券
600115.SH-----鱼跃龙门  佛系翻倍-------------强势股票----中国东航
600116.SH-----鱼跃龙门  佛系翻倍-------------三峡水利
600121.SH-----鱼跃龙门  佛系翻倍-------------郑州煤电
600123.SH-----鱼跃龙门  佛系翻倍-------------强势股票----兰花科创
600131.SH-----鱼跃龙门  佛系翻倍-------------国网信通
600156.SH-----鱼跃龙门  佛系翻倍-------------强势股票----华升股份
600159.SH-----鱼跃龙门  佛系翻倍-------------大龙地产
600162.SH-----鱼跃龙门  佛系翻倍-------------香江控股
600163.SH-----鱼跃龙门  佛系翻倍-------------中闽能源
600169.SH-----鱼跃龙门  佛系翻倍-------------太原重工
600170.SH-----鱼跃龙门  佛系翻倍-------------上海建工
600171.SH-----鱼跃龙门  佛系翻倍-------------上海贝岭
600172.SH-----鱼跃龙门  佛系翻倍-------------强势股票----黄河旋风
600180.SH-----鱼跃龙门  佛系翻倍-------------强势股票----瑞茂通
600190.SH-----鱼跃龙门  佛系翻倍-------------锦州港
600192.SH-----鱼跃龙门  佛系翻倍-------------长城电工
600195.SH-----鱼跃龙门  佛系翻倍-------------中牧股份
600199.SH-----鱼跃龙门  佛系翻倍-------------金种子酒
600202.SH-----鱼跃龙门  佛系翻倍-------------强势股票----哈空调
600216.SH-----鱼跃龙门  佛系翻倍-------------强势股票----浙江医药
600220.SH-----鱼跃龙门  佛系翻倍-------------江苏阳光
600223.SH-----鱼跃龙门  佛系翻倍-------------强势股票----鲁商发展
600229.SH-----鱼跃龙门  佛系翻倍-------------城市传媒
600236.SH-----鱼跃龙门  佛系翻倍-------------桂冠电力
600249.SH-----鱼跃龙门  佛系翻倍-------------强势股票----两面针
600251.SH-----鱼跃龙门  佛系翻倍-------------冠农股份
600252.SH-----鱼跃龙门  佛系翻倍-------------中恒集团
600256.SH-----鱼跃龙门  佛系翻倍-------------强势股票----广汇能源
600261.SH-----鱼跃龙门  佛系翻倍-------------阳光照明
600266.SH-----鱼跃龙门  佛系翻倍-------------城建发展
600267.SH-----鱼跃龙门  佛系翻倍-------------海正药业
600268.SH-----鱼跃龙门  佛系翻倍-------------国电南自
600269.SH-----鱼跃龙门  佛系翻倍-------------赣粤高速
600278.SH-----鱼跃龙门  佛系翻倍-------------东方创业
600279.SH-----鱼跃龙门  佛系翻倍-------------强势股票----重庆港九
600280.SH-----鱼跃龙门  佛系翻倍-------------中央商场
600285.SH-----鱼跃龙门  佛系翻倍-------------羚锐制药
600292.SH-----鱼跃龙门  佛系翻倍-------------远达环保
600297.SH-----鱼跃龙门  佛系翻倍-------------广汇汽车
600305.SH-----鱼跃龙门  佛系翻倍-------------恒顺醋业
600310.SH-----鱼跃龙门  佛系翻倍-------------强势股票----桂东电力
600320.SH-----鱼跃龙门  佛系翻倍-------------强势股票----振华重工
600322.SH-----鱼跃龙门  佛系翻倍-------------天房发展
600326.SH-----鱼跃龙门  佛系翻倍-------------强势股票----西藏天路
600333.SH-----鱼跃龙门  佛系翻倍-------------强势股票----长春燃气
600336.SH-----鱼跃龙门  佛系翻倍-------------澳柯玛
600351.SH-----鱼跃龙门  佛系翻倍-------------强势股票----亚宝药业
600354.SH-----鱼跃龙门  佛系翻倍-------------敦煌种业
600355.SH-----鱼跃龙门  佛系翻倍-------------强势股票----精伦电子
600356.SH-----鱼跃龙门  佛系翻倍-------------强势股票----恒丰纸业
600359.SH-----鱼跃龙门  佛系翻倍-------------新农开发
600368.SH-----鱼跃龙门  佛系翻倍-------------五洲交通
600370.SH-----鱼跃龙门  佛系翻倍-------------三房巷
600373.SH-----鱼跃龙门  佛系翻倍-------------中文传媒
600376.SH-----鱼跃龙门  佛系翻倍-------------强势股票----首开股份
600380.SH-----鱼跃龙门  佛系翻倍-------------健康元
600383.SH-----鱼跃龙门  佛系翻倍-------------强势股票----金地集团
600386.SH-----鱼跃龙门  佛系翻倍-------------强势股票----北巴传媒
600396.SH-----鱼跃龙门  佛系翻倍-------------金山股份
600397.SH-----鱼跃龙门  佛系翻倍-------------安源煤业
600415.SH-----鱼跃龙门  佛系翻倍-------------小商品城
600419.SH-----鱼跃龙门  佛系翻倍-------------天润乳业
600433.SH-----鱼跃龙门  佛系翻倍-------------强势股票----冠豪高新
600435.SH-----鱼跃龙门  佛系翻倍-------------北方导航
600446.SH-----鱼跃龙门  佛系翻倍-------------强势股票----金证股份
600467.SH-----鱼跃龙门  佛系翻倍-------------好当家
600470.SH-----鱼跃龙门  佛系翻倍-------------强势股票----六国化工
600479.SH-----鱼跃龙门  佛系翻倍-------------千金药业
600483.SH-----鱼跃龙门  佛系翻倍-------------福能股份
600505.SH-----鱼跃龙门  佛系翻倍-------------西昌电力
600517.SH-----鱼跃龙门  佛系翻倍-------------强势股票----国网英大
600521.SH-----鱼跃龙门  佛系翻倍-------------华海药业
600522.SH-----鱼跃龙门  佛系翻倍-------------中天科技
600526.SH-----鱼跃龙门  佛系翻倍-------------菲达环保
600527.SH-----鱼跃龙门  佛系翻倍-------------江南高纤
600532.SH-----鱼跃龙门  佛系翻倍-------------强势股票----未来股份
600535.SH-----鱼跃龙门  佛系翻倍-------------天士力
600536.SH-----鱼跃龙门  佛系翻倍-------------中国软件
600537.SH-----鱼跃龙门  佛系翻倍-------------亿晶光电
600540.SH-----鱼跃龙门  佛系翻倍-------------新赛股份
600543.SH-----鱼跃龙门  佛系翻倍-------------莫高股份
600550.SH-----鱼跃龙门  佛系翻倍-------------保变电气
600572.SH-----鱼跃龙门  佛系翻倍-------------康恩贝
600578.SH-----鱼跃龙门  佛系翻倍-------------京能电力
600583.SH-----鱼跃龙门  佛系翻倍-------------强势股票----海油工程
600594.SH-----鱼跃龙门  佛系翻倍-------------益佰制药
600597.SH-----鱼跃龙门  佛系翻倍-------------光明乳业
600598.SH-----鱼跃龙门  佛系翻倍-------------北大荒
600606.SH-----鱼跃龙门  佛系翻倍-------------绿地控股
600611.SH-----鱼跃龙门  佛系翻倍-------------大众交通
600613.SH-----鱼跃龙门  佛系翻倍-------------神奇制药
600616.SH-----鱼跃龙门  佛系翻倍-------------金枫酒业
600617.SH-----鱼跃龙门  佛系翻倍-------------强势股票----国新能源
600618.SH-----鱼跃龙门  佛系翻倍-------------强势股票----氯碱化工
600622.SH-----鱼跃龙门  佛系翻倍-------------光大嘉宝
600629.SH-----鱼跃龙门  佛系翻倍-------------强势股票----华建集团
600635.SH-----鱼跃龙门  佛系翻倍-------------强势股票----大众公用
600638.SH-----鱼跃龙门  佛系翻倍-------------强势股票----新黄浦
600642.SH-----鱼跃龙门  佛系翻倍-------------强势股票----申能股份
600644.SH-----鱼跃龙门  佛系翻倍-------------强势股票----乐山电力
600650.SH-----鱼跃龙门  佛系翻倍-------------锦江在线
600651.SH-----鱼跃龙门  佛系翻倍-------------飞乐音响
600665.SH-----鱼跃龙门  佛系翻倍-------------天地源
600679.SH-----鱼跃龙门  佛系翻倍-------------上海凤凰
600683.SH-----鱼跃龙门  佛系翻倍-------------京投发展
600688.SH-----鱼跃龙门  佛系翻倍-------------上海石化
600691.SH-----鱼跃龙门  佛系翻倍-------------强势股票----阳煤化工
600698.SH-----鱼跃龙门  佛系翻倍-------------湖南天雁
600704.SH-----鱼跃龙门  佛系翻倍-------------强势股票----物产中大
600708.SH-----鱼跃龙门  佛系翻倍-------------光明地产
600712.SH-----鱼跃龙门  佛系翻倍-------------南宁百货
600713.SH-----鱼跃龙门  佛系翻倍-------------南京医药
600716.SH-----鱼跃龙门  佛系翻倍-------------凤凰股份
600717.SH-----鱼跃龙门  佛系翻倍-------------天津港
600720.SH-----鱼跃龙门  佛系翻倍-------------强势股票----祁连山
600723.SH-----鱼跃龙门  佛系翻倍-------------首商股份
600724.SH-----鱼跃龙门  佛系翻倍-------------强势股票----宁波富达
600726.SH-----鱼跃龙门  佛系翻倍-------------华电能源
600728.SH-----鱼跃龙门  佛系翻倍-------------强势股票----佳都科技
600743.SH-----鱼跃龙门  佛系翻倍-------------华远地产
600744.SH-----鱼跃龙门  佛系翻倍-------------华银电力
600748.SH-----鱼跃龙门  佛系翻倍-------------上实发展
600757.SH-----鱼跃龙门  佛系翻倍-------------长江传媒
600758.SH-----鱼跃龙门  佛系翻倍-------------强势股票----辽宁能源
600761.SH-----鱼跃龙门  佛系翻倍-------------安徽合力
600774.SH-----鱼跃龙门  佛系翻倍-------------强势股票----汉商集团
600780.SH-----鱼跃龙门  佛系翻倍-------------强势股票----通宝能源
600790.SH-----鱼跃龙门  佛系翻倍-------------强势股票----轻纺城
600791.SH-----鱼跃龙门  佛系翻倍-------------京能置业
600792.SH-----鱼跃龙门  佛系翻倍-------------强势股票----云煤能源
600795.SH-----鱼跃龙门  佛系翻倍-------------强势股票----国电电力
600804.SH-----鱼跃龙门  佛系翻倍-------------强势股票----鹏博士
600805.SH-----鱼跃龙门  佛系翻倍-------------悦达投资
600815.SH-----鱼跃龙门  佛系翻倍-------------厦工股份
600820.SH-----鱼跃龙门  佛系翻倍-------------隧道股份
600821.SH-----鱼跃龙门  佛系翻倍-------------金开新能
600823.SH-----鱼跃龙门  佛系翻倍-------------强势股票----世茂股份
600824.SH-----鱼跃龙门  佛系翻倍-------------益民集团
600827.SH-----鱼跃龙门  佛系翻倍-------------百联股份
600833.SH-----鱼跃龙门  佛系翻倍-------------第一医药
600839.SH-----鱼跃龙门  佛系翻倍-------------四川长虹
600841.SH-----鱼跃龙门  佛系翻倍-------------上柴股份
600850.SH-----鱼跃龙门  佛系翻倍-------------强势股票----电科数字
600851.SH-----鱼跃龙门  佛系翻倍-------------强势股票----海欣股份
600853.SH-----鱼跃龙门  佛系翻倍-------------龙建股份
600861.SH-----鱼跃龙门  佛系翻倍-------------强势股票----北京城乡
600863.SH-----鱼跃龙门  佛系翻倍-------------内蒙华电
600867.SH-----鱼跃龙门  佛系翻倍-------------通化东宝
600868.SH-----鱼跃龙门  佛系翻倍-------------强势股票----梅雁吉祥
600871.SH-----鱼跃龙门  佛系翻倍-------------石化油服
600874.SH-----鱼跃龙门  佛系翻倍-------------创业环保
600875.SH-----鱼跃龙门  佛系翻倍-------------强势股票----东方电气
600883.SH-----鱼跃龙门  佛系翻倍-------------博闻科技
600885.SH-----鱼跃龙门  佛系翻倍-------------宏发股份
600889.SH-----鱼跃龙门  佛系翻倍-------------南京化纤
600892.SH-----鱼跃龙门  佛系翻倍-------------大晟文化
600917.SH-----鱼跃龙门  佛系翻倍-------------重庆燃气
600958.SH-----鱼跃龙门  佛系翻倍-------------强势股票----东方证券
600962.SH-----鱼跃龙门  佛系翻倍-------------国投中鲁
600966.SH-----鱼跃龙门  佛系翻倍-------------博汇纸业
600969.SH-----鱼跃龙门  佛系翻倍-------------强势股票----郴电国际
600973.SH-----鱼跃龙门  佛系翻倍-------------强势股票----宝胜股份
600975.SH-----鱼跃龙门  佛系翻倍-------------新五丰
600981.SH-----鱼跃龙门  佛系翻倍-------------汇鸿集团
600987.SH-----鱼跃龙门  佛系翻倍-------------航民股份
600998.SH-----鱼跃龙门  佛系翻倍-------------九州通
600999.SH-----鱼跃龙门  佛系翻倍-------------强势股票----招商证券
601002.SH-----鱼跃龙门  佛系翻倍-------------晋亿实业
