="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="000599",青岛双星,="2",10月份连续18家轮胎企业宣布涨价。龙头深深宝A两连板，中粮生化（燃料乙醇）等涨停。公司是全球知名的轮胎制造企业之一，实控人为青岛国资委旗下的双星集团,4.10%,10.02%,32.33%,32.33%,09:49:24,14:44:27,4.83,8.78%,0.00%,---,---,换手板,烂板 | 放量,="3",1.31万手,14.85%,卖出: 2天,---,---,KDJ金叉 量能巨变 BIAS金叉, 6天4板(1个一字板),中韩自贸区 | 石墨烯 | 军工 | 工业4.0 | 山东国企改革 | 混改 | 军民融合 | 股权转让,39.45亿,39.45亿
="",="600006",东风汽车,="4",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司控股股东将变更为东风集团，实控人将变更为国务院国资委,9.96%,9.96%,82.09%,82.09%,09:25:01,09:25:01,9.05,0.00%,0.00%,---,---,一字板,一字板,="0",53.74万手,0.70%,买入: 12天,买入: 4天,---,强势股, 4天4板(4个一字板),智能制造 | 无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | 华为汽车 | 地摊经济,181.00亿,181.00亿
="",="000868",安凯客车,="3",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司主营新能源客车，打造出安徽首条氢燃料公交示范线运营车辆,10.03%,10.03%,39.78%,39.78%,09:25:00,09:59:33,6.36,2.58%,0.00%,---,---,T字板,炸板涨停 | 放量,="1",19.34万手,7.77%,买入: 13天,卖出: 3天,买入: 2天,阶段新高 强势股,11天6板(1个一字板),无人驾驶 | 新能源汽车 | PPP概念 | 燃料电池 | 华为概念 | 华为汽车,46.64亿,46.64亿
="",="605577",龙版传媒,首板,大型现代化综合性国有文化企业；公司旗下109家新华书店门店实现连锁经营，涵盖包括大中型书城、特色书店、专业书店等多种形式,-0.84%,10.03%,42.34%,37.77%,10:03:25,10:05:22,14.48,12.68%,0.00%,---,---,换手板,炸板涨停 | 小盘股,="2",1.31万手,36.96%,买入: 9天,---,买入: 0天,估值较低 KDJ金叉 RSI金叉 BIAS金叉 MTM金叉, 1天1板,次新股 | 在线教育 | 知识产权保护 | 黑龙江自贸区 | 核准制次新股,6.44亿,64.36亿
="",="603005",晶方科技,首板,电源管理芯片等供应严重短缺。全球晶圆级芯片尺寸封装服务的主要提供者与技术引领者；主要专注于传感器领域的封装测试业务，拥有多样化的先进封装技术，同时具备8英寸、12英寸晶圆级芯片尺寸封装技术规模量产封装能力,-0.15%,9.99%,7.53%,7.53%,14:28:09,14:30:06,22.13,10.65%,0.00%,---,---,换手板,炸板涨停,="1",2.40万手,7.50%,买入: 13天,---,---,估值较低 量能巨变 CCI买入信号 MTM金叉, 1天1板,沪股通 | 传感器 | 高送转 | 汽车电子 | 虚拟现实 | 芯片概念 | 融资融券 | MSCI概念 | 送转填权 | 消费电子 | 集成电路概念 | 华为概念 | 长三角一体化 | 光刻机 | 光刻胶 | 国家大基金持股 | 第三代半导体 | 汽车芯片,144.19亿,144.56亿
="",="688280",精进电动-UW,="2",工信部正式开展新一轮新能源汽车下乡活动。公司是新能源汽车电驱动系统国内领军企业之一，从事电驱动系统的研产销及服务，已对驱动电机、控制器、传动三大总成自主掌握核心技术和实现完整布局
,7.52%,20.00%,51.76%,51.76%,10:44:23,14:00:53,15.48,20.00%,0.00%,---,---,换手板,炸板涨停 | 红黄白涨停 | 小盘股,="4",1.44万手,50.03%,买入: 18天,买入: 1天,---,游资上榜 量能巨变 强势股, 2天2板,次新股 | 新能源汽车 | 融资融券 | 注册制次新股,16.22亿,91.37亿
="",="605128",上海沿浦,="2",工信部正式开展新一轮新能源汽车下乡活动。公司为汽车座椅骨架自主龙头,4.63%,10.01%,27.55%,27.55%,14:12:00,14:22:48,33.75,7.83%,0.00%,---,---,换手板,炸板涨停 | 小盘股,="3",3210手,20.13%,买入: 16天,---,买入: 5天,估值较高 量能巨变, 2天2板,高铁,14.08亿,27.00亿
="",="300969",恒帅股份,首板,工信部正式开展新一轮新能源汽车下乡活动。公司主要从事车用微电机及以微电机为核心组件的汽车清洗泵、清洗系统产品的研产销,1.75%,20.01%,25.45%,25.45%,14:15:30,14:22:57,82.42,17.95%,0.00%,---,---,换手板,炸板涨停 | 小盘股,="1",3568手,24.34%,买入: 21天,卖出: 6天,---,估值较低 KDJ金叉, 1天1板,新能源汽车 | 基金重仓 | 融资融券,16.48亿,65.94亿
="",="002988",豪美新材,首板,工信部正式开展新一轮新能源汽车下乡活动。公司主营铝合金型材和系统门窗研产销，目前是华南地区最具规模的汽车轻量化铝基新材料企业,-0.08%,9.98%,12.34%,12.34%,10:55:12,13:43:42,14.11,10.06%,0.00%,---,---,换手板,炸板涨停 | 放量 | 小盘股,="7",3621手,11.54%,买入: 16天,---,---,估值较低 KDJ金叉 量能巨变 CCI买入信号 强势股, 1天1板,新能源汽车 | 新材料概念 | 基金重仓 | 恒大概念,11.88亿,32.84亿
="",="605258",协和电子,首板,工信部正式开展新一轮新能源汽车下乡活动。国内领先的高频通讯板生产商；公司主要从事刚性、挠性印制电路板的研产销以及印制电路板的表面贴装业务（SMT），在汽车电子、高频通讯领域具备较强的竞争力，有部分新能源领域的客户,-0.04%,9.99%,20.46%,20.46%,09:38:04,09:38:04,25.32,10.09%,0.00%,---,---,换手板,黄线涨停 | 小盘股,="0",5070手,3.91%,买入: 12天,买入: 0天,---,估值较高 KDJ金叉 CCI买入信号 强势股 五星买点, 1天1板,汽车电子 | 印刷电路板 | PCB,9.57亿,22.28亿
="",="002997",瑞鹄模具,首板,工信部正式开展新一轮新能源汽车下乡活动。国内领先的汽车模具制造商；华为提供自动驾驶技术的极狐阿尔法S车型铝合金轻量化车身模具由公司承制,9.98%,9.98%,19.36%,19.36%,09:30:00,13:56:30,16.09,3.81%,0.00%,---,---,T字板,炸板涨停 | 黄线涨停 | 小盘股,="2",1.60万手,12.13%,买入: 13天,买入: 0天,---,估值合理 CCI买入信号 五星买点, 1天1板,新能源汽车 | 专精特新,18.42亿,29.54亿
="",="603319",湘油泵,="2",工信部正式开展新一轮新能源汽车下乡活动。国内内燃机机油泵龙头，联合易力达设立公司东嘉智能（持股40%），后者核心产品为智能驾驶执行层控制单元ECU，已经实现该产品在500多万辆的汽车保有量上应用，客户包括长安汽车,5.70%,9.99%,30.69%,30.69%,09:30:40,09:40:13,17.17,5.27%,0.00%,---,---,换手板,炸板涨停,="1",2.57万手,8.44%,买入: 12天,---,---,强势股, 2天2板,无人驾驶 | 新能源汽车 | 期货概念 | 华为概念 | 新能源车零部件,35.54亿,35.85亿
="",="002708",光洋股份,首板,工信部正式开展新一轮新能源汽车下乡活动。汽车精密轴承领先企业，拥有“NRB”和“天鸿”两个中国驰名商标；产品主要应用于汽车发动机、变速器、离合器等,0.35%,9.93%,20.88%,18.77%,10:05:18,10:05:18,6.20,13.14%,0.00%,---,---,换手板,---,="0",6.79万手,3.83%,卖出: 5天,---,买入: 0天,KDJ金叉 强势股, 1天1板,军工 | 创投 | 新能源汽车 | 壳资源 | 印刷电路板 | 高端装备 | 年报预增,25.22亿,30.50亿
="",="002860",星帅尔,首板,工信部正式开展新一轮新能源汽车下乡活动。全资子公司浙特电机从事中小型电动机、微型电动机的研发，产品包括新能源汽车驱动电机和新能源汽车空调压缩机电机，其中永磁同步新能源汽车驱动电机是新能源车的三大核心零部件之一,-0.30%,10.01%,21.02%,19.02%,13:49:39,13:49:39,18.46,12.22%,0.00%,---,---,换手板,---,="0",2.48万手,8.48%,卖出: 6天,---,---,估值较高 KDJ金叉 RSI金叉 CCI买入信号 MTM金叉, 1天1板,传感器 | 光伏概念 | 5G | 新能源汽车 | 回购概念 | 新能源车零部件 | 垃圾分类,29.96亿,40.48亿
="",="600603",广汇物流,首板,公司41.76亿元收购新疆红淖三铁路公司,4.44%,10.08%,19.44%,17.93%,09:34:01,11:25:35,5.46,5.41%,0.00%,---,---,换手板,烂板 | 老龙头反抽 | 黄线涨停,="8",2.69万手,8.68%,卖出: 3天,买入: 0天,买入: 1天,机构上榜 机构净买入 多家机构买入 估值高 KDJ金叉 RSI金叉 五星买点, 1天1板,一带一路 | 智能制造 | 恒大概念 | 快递物流 | 冷链物流 | 统一大市场,68.42亿,68.42亿
="",="002575",群兴玩具,首板,公司6月6日撤销退市风险警示,9.98%,9.98%,16.02%,16.02%,09:25:00,09:25:00,5.07,0.00%,0.00%,---,---,一字板,一字板,="0",4.34万手,0.05%,---,---,---,KDJ金叉 RSI金叉 CCI买入信号 BIAS金叉 MTM金叉 强势股, 1天1板(1个一字板),创投 | 区块链 | 摘帽 | 资产重组,29.85亿,31.37亿
="",="000628",高新发展,="3",公司筹划收购森未科技和芯未半导体控制权,10.03%,10.03%,40.36%,40.36%,09:25:00,14:49:33,17.11,14.83%,0.00%,---,---,T字板,烂板 | 放量,="3",9607手,24.88%,买入: 20天,---,---,量能巨变 阶段新高 强势股, 3天3板(2个一字板),智慧城市 | 创投 | 参股新三板 | PPP概念 | 期货概念,32.86亿,60.28亿
="",="002915",中欣氟材,首板,公司规划22年8月投产三氟甲苯，该产品是新冠口服药中间体之一，称目前生产少量小试样品并仅提供给部分国内客户进行检测、试用,1.03%,10.02%,11.12%,11.12%,14:09:00,14:09:00,25.58,9.55%,0.00%,---,---,换手板,放量,="0",1.03万手,5.12%,买入: 31天,---,---,估值较高 CCI买入信号 强势股, 1天1板,新材料概念 | 氟化工 | 高商誉,44.83亿,59.92亿
="",="002652",扬子新材,首板,公司控股股东为南宁颐然养老产业合伙企业(有限合伙)，主营为老年人养护服务，对养老产业的投资，投资管理,1.16%,10.08%,6.77%,6.77%,11:08:42,11:08:42,2.84,9.65%,0.00%,---,---,换手板,放量 | 小盘股,="0",25.01万手,3.27%,买入: 11天,---,---,KDJ金叉 RSI金叉 BIAS金叉 MTM金叉 MA(20日线支撑), 1天1板,新材料概念 | 雄安新区,14.53亿,14.54亿
="",="002060",粤 水 电,="2",公司拟104.97亿元收购广东省建筑工程集团有限公司100%股权,5.54%,9.99%,38.35%,38.35%,09:35:21,14:49:42,10.13,6.52%,0.00%,---,---,换手板,烂板 | 红黄白涨停,="10",2.28万手,25.88%,买入: 21天,买入: 1天,---,机构上榜 机构净买入 多家机构买入 估值高 阶段新高 均线多头排列, 2天2板,光伏概念 | 环保 | 水利建设 | 风电 | PPP概念 | 粤港澳大湾区 | 大基建 | 乡村振兴 | 抽水蓄能 | 绿色电力 | 新型城镇化,121.75亿,121.79亿
="",="603318",水发燃气,首板,公司拟收购鄂尔多斯水发剩余40.21%股权，加码LNG业务,10.07%,10.07%,16.46%,16.46%,09:25:04,09:25:04,7.43,0.00%,0.00%,---,---,一字板,一字板,="0",6.53万手,0.15%,买入: 3天,---,---,强势股, 1天1板(1个一字板),融资融券 | 天然气 | 资产重组 | 储能,28.09亿,28.09亿
="",="300140",中环装备,首板,公司拟通过发行股份及支付现金的方式向中国环保购买其持有的环境科技100%股权、通过发行股份方式向河北建投购买其持有的中节能石家庄19%股权、中节能保定19%股权、中节能秦皇岛19%股权、中节能沧州19%股权、承德环能热电14%股权，同时拟定增募资不超过30亿元,20.03%,20.03%,46.37%,46.37%,09:25:00,09:25:00,7.67,0.00%,0.00%,---,---,一字板,一字板,="0",8.31万手,0.40%,买入: 5天,---,---,CCI买入信号 BIAS金叉 强势股, 1天1板(1个一字板),固废处理 | 污水处理 | 环保 | 土壤治理 | 中字头股票 | 特高压 | 智能电网 | 雄安新区 | 资产重组 | 乡村振兴 | 垃圾分类 | 医疗废物处理,32.47亿,32.77亿
="",="603069",海汽集团,="5",公司拟向海南旅投发行股份及支付现金购买其持有的海旅免税的100%股权,10.01%,10.01%,92.15%,92.15%,09:25:06,09:25:06,19.35,0.00%,0.00%,---,---,一字板,一字板 | 百日新高,="0",26.44万手,0.35%,买入: 6天,卖出: 22天,---,强势股, 8天6板(5个一字板),新能源汽车 | 海南自贸区 | 汽车销售 | 免税店,61.15亿,61.15亿
="",="001212",中旗新材,首板,公司拟在广西省河池市罗城县仫佬族自治县投资建设“罗城硅晶新材料研发开发制造一体化项目”，项目投资总额约为10亿,4.75%,9.99%,45.55%,45.55%,09:36:39,09:38:54,43.49,5.18%,0.00%,---,---,换手板,炸板涨停 | 反包涨停 | 隔日反包 | 小盘股,="1",8179手,24.85%,卖出: 3天,买入: 10天,买入: 2天,机构上榜 机构净买入 多家机构买入 估值高 KDJ金叉 RSI金叉 BIAS金叉 多方炮,11天6板(1个一字板),次新股 | 新材料概念 | 粤港澳大湾区 | 装配式建筑 | 核准制次新股 | 有机硅,9.86亿,39.43亿
="",="002565",顺灏股份,首板,公司旗下主要电子烟品牌有佳品健怡的“FreeM”、上海顺灏怡隆的“ELON燚龙”、云南喜科的“CIGOO喜科”、北京丰舟灏扬的“飞燃”等,1.52%,10.10%,5.49%,4.06%,09:39:21,09:39:21,4.36,9.55%,0.00%,---,---,换手板,---,="0",9.84万手,4.02%,卖出: 1天,卖出: 8天,---,KDJ金叉 RSI金叉 BIAS金叉 MTM金叉, 1天1板,土壤治理 | 生态农业 | 融资融券 | 工业大麻 | 电子烟 | 烟草,46.00亿,46.22亿
="",="603636",南威软件,首板,公司是国家电子证照标准组组长单位，公司的电子证照范围不仅包含电子身份证业务，还包含了驾驶证、证明等服务民生、服务社会、服务企业的产品,-0.59%,10.02%,6.97%,6.97%,10:57:29,10:57:29,11.20,10.67%,0.00%,---,---,换手板,老龙头反抽 | 放量,="0",4.53万手,7.19%,买入: 0天,---,---,估值高 BIAS金叉 MTM金叉 五星买点, 1天1板,信息安全 | 智慧城市 | 军工 | 在线教育 | 大数据 | 阿里巴巴概念 | 云计算 | 智能停车 | 国产软件 | 融资融券 | 区块链 | 蚂蚁金服概念 | PPP概念 | 华为概念 | 新冠检测 | 智慧政务 | 算力概念 | 东数西算 | 电子身份证,66.17亿,66.17亿
="",="000153",丰原药业,首板,公司医药产品涵盖制剂产品、原料药和中间体等，拥有年产30000吨赤藓糖醇项目，参股的江苏诚信药业有NMN相关产品的研发,0.12%,10.02%,14.65%,14.65%,14:06:39,14:16:45,9.00,10.43%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",2.13万手,6.98%,买入: 18天,---,---,估值较低 量能巨变 CCI买入信号 BIAS金叉, 1天1板,金融改革 | 眼科 | 代糖概念,28.08亿,28.09亿
="",="000838",财信发展,首板,公司以重庆为核心的地产商，此前拟5.8亿元收购财信智服，标的资产是独立第三方物业服务企业，主要为客户提供基础物业服务,0.43%,9.94%,4.14%,-9.70%,13:23:03,13:59:36,7.63,10.90%,0.00%,---,---,换手板,炸板涨停,="2",3.38万手,3.36%,卖出: 13天,---,---,RSI金叉 BIAS金叉, 1天1板,固废处理 | 电商 | 污水处理 | 环保 | 粤港澳大湾区 | 租售同权,80.32亿,83.97亿
="",="603139",康惠制药,="2",公司拥有十几个剂型107个中药品种，是行业拥有药品生产批准文号较多的企业之一,6.39%,10.01%,20.05%,20.05%,09:30:49,09:34:52,19.46,5.19%,0.00%,---,---,换手板,炸板涨停 | 小盘股,="3",8967手,4.23%,买入: 1天,---,---,估值较低 CCI买入信号 强势股, 2天2板,中药 | 牙科医疗 | 幽门螺旋杆菌,19.44亿,19.44亿
="",="600536",中国软件,首板,公司拥有完整的从操作系统等基础软件、中间件、安全产品到应用系统的业务链条，参股的麒麟软件在政务内网份额高,0.00%,10.01%,13.01%,13.01%,13:09:03,14:17:33,43.96,11.12%,0.00%,---,---,换手板,烂板 | 放量,="4",7935手,6.06%,买入: 19天,---,---,估值较低 CCI买入信号 MA(20日线支撑), 1天1板,信息安全 | 智慧城市 | 中字头股票 | 云计算 | 国产软件 | 融资融券 | MSCI概念 | 国产操作系统 | 腾讯概念 | 标普道琼斯A股 | 数字经济 | 电子身份证,217.41亿,223.18亿
="",="002881",美格智能,首板,公司主要产品为物联网技术开发服务、基于物联网组网技术的系统解决方案、4G通信模块及智能终端、精密组件,2.18%,10.00%,14.80%,14.80%,13:02:42,13:02:42,45.00,9.65%,0.00%,---,---,换手板,---,="0",4066手,4.45%,买入: 18天,卖出: 4天,买入: 0天,机构关注最多 估值较低 KDJ金叉 强势股, 1天1板,车联网 | 移动支付 | 物联网 | 5G | 新能源汽车 | 基金重仓 | 华为概念 | 年报预增 | 电力物联网 | 华为海思概念 | 算力概念 | 东数西算,55.55亿,83.11亿
="",="002489",浙江永强,首板,公司主要从事户外休闲家具及用品的设计研产销，产品主要有户外休闲家具、遮阳伞、帐篷等三大系列,0.80%,10.11%,0.69%,-4.28%,13:25:42,14:19:51,4.14,9.81%,0.00%,---,---,换手板,炸板涨停 | 放量,="2",3.83万手,6.62%,卖出: 8天,卖出: 18天,买入: 0天,估值高 KDJ金叉 RSI金叉, 1天1板,电商 | 深股通 | 一带一路 | 创投 | 体育产业 | 跨境电商 | 在线旅游 | 融资融券 | 独角兽概念 | 参股银行 | 标普道琼斯A股 | 地摊经济 | 共同富裕示范区 | 露营经济,77.89亿,90.08亿
="",="002339",积成电子,首板,公司主营电网自动化，承建国网福建配电网智能化故障处置系统,0.00%,9.95%,19.22%,19.22%,13:56:30,13:56:30,6.08,10.55%,0.00%,---,---,换手板,放量,="0",14.83万手,4.65%,买入: 14天,---,---,BIAS金叉 强势股, 1天1板,信息安全 | 光伏概念 | 物联网 | 智能制造 | 3D打印 | 参股新三板 | 充电桩 | 新能源汽车 | 风电 | 特高压 | 智能电网 | 地下管网 | 华为概念 | 电力物联网 | 数字孪生 | 碳中和 | 储能 | 换电概念 | 数字经济,29.27亿,31.12亿
="",="000637",茂化实华,首板,公司主营石油化工产品，包括液化石油气、聚丙烯、醋酸仲丁酯等，聚丙烯产能为国内小本体（粉料）聚丙烯最大,-0.22%,10.09%,13.92%,13.92%,09:53:42,10:50:00,4.91,10.59%,0.00%,---,---,换手板,炸板涨停 | 放量 | 小盘股,="4",1.57万手,6.62%,买入: 9天,---,---,估值较低 KDJ金叉 BIAS金叉 MTM金叉, 1天1板,---,18.07亿,25.53亿
="",="603676",XD卫信康,首板,国内静脉补充剂行业龙头，一季报净利润同比增长109.71%,-1.42%,10.02%,20.24%,20.24%,13:30:05,13:30:05,10.10,11.60%,0.00%,---,---,换手板,反包涨停,="0",9913手,2.22%,买入: 18天,---,---,估值较低 BIAS金叉, 4天2板,---,42.72亿,44.03亿
="",="605050",福然德,首板,国内领先的钢材物流供应链企业；公司主要为汽车行业及家电行业提供完整的钢材物流供应链服务；拟定增募资不超过6.5亿，用于新能源汽车板生产基地项目、新能源汽车铝压铸建设项目等
,-0.26%,10.04%,11.81%,11.81%,13:37:35,13:37:35,12.50,11.31%,0.00%,---,---,换手板,放量 | 小盘股,="0",3.17万手,8.00%,买入: 2天,卖出: 26天,---,估值合理 MA(20日线支撑), 1天1板,新能源汽车 | 快递物流 | 统一大市场,18.94亿,54.38亿
="",="603555",贵人鸟,首板,国内运动休闲服装小龙头，5月25日摘帽,2.05%,9.94%,10.00%,7.43%,09:35:59,09:47:20,3.76,9.94%,0.00%,---,---,换手板,炸板涨停 | 反包涨停,="2",12.02万手,3.65%,卖出: 7天,---,买入: 0天,高成长 估值合理 KDJ金叉 RSI金叉 CCI买入信号 BIAS金叉, 4天2板,体育产业 | 粮食安全 | 新零售 | 摘帽 | 参股保险 | 冰雪产业,59.09亿,59.09亿
="",="600962",国投中鲁,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。国投集团旗下，集团为首批央企改革试点单位，公司主营浓缩果蔬汁的生产和销售,-2.44%,10.00%,47.53%,39.48%,13:21:36,14:51:18,13.53,18.17%,0.00%,---,---,换手板,烂板 | 反包涨停 | 黄线涨停 | 百日新高,="4",8460手,20.18%,卖出: 2天,买入: 0天,买入: 1天,游资上榜 RSI金叉 均线多头排列 五星买点, 6天3板(1个一字板),苹果期货 | 饮料,34.37亿,35.48亿
="",="000619",海螺新材,="2",国企改革三年行动打响收官战；国资重组转让将迎新规。实控人安徽省国资委；公司塑料型材、铝材、门窗、生态地板及节能家居产品，可用于乡村振兴、新型城镇化建设,5.19%,9.94%,16.49%,16.49%,09:30:18,13:08:18,7.63,9.94%,0.00%,---,---,换手板,烂板 | 放量,="2",8.25万手,21.34%,买入: 16天,---,---,阶段新高, 2天2板,光伏概念 | 建筑节能 | 工业互联网 | 新型城镇化,27.47亿,27.47亿
="",="002497",雅化集团,首板,锂电池价格止跌反弹；发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。1、公司目前拥有锂盐产能4.3万吨，并计划新建5万吨电池级氢氧化锂产能、1.1万吨氯化锂产能，并将与澳洲东部铁业合作开发锂项目；
2、预计第一季度盈利9亿元-12亿元，同比增长1053.67%-1438.22%；报告期内锂盐产品价格持续上涨，公司锂盐产品销量逐步提升，锂业务利润大幅度增长,0.00%,10.02%,6.22%,6.22%,10:33:57,13:40:57,31.08,10.02%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",2.79万手,8.69%,买入: 14天,---,---,北向增仓 估值较低 KDJ金叉 RSI金叉 MTM金叉 MA(20日线支撑), 1天1板,深股通 | 军工 | 机器人概念 | 军民融合 | 锂电池 | 特斯拉 | 基金重仓 | 融资融券 | 白马股 | 年报预增 | 标普道琼斯A股 | 民爆概念,321.42亿,358.22亿
