="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="002598",山东章鼓,首板,发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。公司投资的新疆喀什安德新材料，拥有PPS体系的锂离子、钠离子固态功能膜片的材料合成技术，目前已有少量订单,-3.49%,10.02%,22.13%,22.13%,09:39:24,09:39:24,9.77,14.40%,0.00%,---,---,换手板,黄线涨停,="0",5.82万手,6.17%,买入: 15天,买入: 0天,---,估值合理 五星买点, 1天1板,污水处理 | 核电 | 环保 | 山东国企改革 | 超级电容 | 锂电池 | 储能 | 钠离子电池 | 方舱医院,26.39亿,30.48亿
="",="002513",蓝丰生化,首板,印度政府宣布禁止大米出口，全球粮食持续涨价。国内甲基硫菌灵龙头，公司是国内杀菌剂大宗品种多菌灵三大生产基地之一，同时产品还覆盖杀虫剂、除草剂、中间体,0.00%,10.02%,11.78%,5.98%,09:39:54,09:39:54,5.49,10.46%,0.00%,---,---,换手板,小盘股,="0",6.63万手,1.35%,卖出: 2天,卖出: 4天,买入: 0天,RSI金叉 BIAS金叉 MA(20日线支撑), 1天1板,中药 | 生态农业 | 壳资源 | 摘帽,17.26亿,20.53亿
="",="600231",凌钢股份,首板,新加坡铁矿石期货涨5％，创5月20日以来最大涨幅。公司钢材以长材为主，全资子公司北票保国铁矿主要产品为铁精矿，此次鞍钢本钢重组或同时设计公司,-0.40%,10.12%,15.74%,15.74%,09:40:23,09:40:23,2.72,10.57%,0.00%,---,---,换手板,放量,="0",10.23万手,1.83%,买入: 9天,---,---,BIAS金叉 MTM金叉 估值较低, 1天1板,融资融券 | 标普道琼斯A股,77.58亿,77.58亿
="",="002455",百川股份,首板,国家电网发布八项措施助力稳定经济大盘，加快抽水蓄能项目发展。发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。公司合计持股海基新能源的32.27%股份，标的目前产能为1GWh，另外有对钠离子电池进行技术储备及相关研发,1.42%,10.04%,11.17%,11.17%,09:44:51,09:44:51,10.85,8.72%,0.00%,---,---,换手板,---,="0",6.53万手,5.55%,买入: 15天,---,---,KDJ金叉 CCI买入信号 MTM金叉 强势股 估值较低, 1天1板,石墨烯 | 新能源汽车 | 锂电池 | 宁德时代概念 | 石墨电极 | 储能 | 动力电池回收,54.01亿,64.36亿
="",="688011",新光光电,首板,龙头5个交易日翻倍；云从科技上市后连续大涨。中航电子、中航机电两大军工央企宣布合并。公司为精确制导武器核心光学供应商,0.97%,20.01%,26.16%,26.16%,09:47:51,09:47:51,25.85,18.85%,0.00%,---,---,换手板,放量 | 小盘股,="0",1.19万手,7.88%,买入: 5天,---,---,量能巨变 CCI买入信号 强势股, 1天1板,军工 | 军民融合 | 融资融券 | 黑龙江自贸区 | 专精特新,10.81亿,25.85亿
="",="003021",兆威机电,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。1、公司专业从事微型传动系统、精密注塑件和精密模具的研产销，可满足通信设备、智能手机、汽车电子等诸多行业内不同客户的需求；
2、公司有针对新能源汽车产品的布局，比如汽车的雷达控制、尾翼升降、汽车充电桩等产品，配合华为需求在智能汽车板块有参与多款产品的设计开发生产,0.03%,10.01%,30.31%,30.31%,09:48:15,14:13:36,40.76,12.16%,0.00%,---,---,换手板,炸板涨停 | 反包涨停 | 隔日反包 | 黄线涨停,="1",5009手,8.54%,买入: 16天,买入: 0天,---,强势股 机构上榜 机构净买入 多家机构买入 估值高 五星买点, 3天2板,小米概念 | 深股通 | 机器人概念 | 5G | 新能源汽车 | 华为概念 | 华为汽车,24.57亿,69.93亿
="",="603016",新宏泰,首板,国务院支持中国铁路集团发行3000亿元铁路建设债券。公司为国内断路器行业中关键部件配套研发、制造、服务能力领先的企业之一，主要产品为断路器关键部件、低压断路器及刀熔开关等,-0.11%,10.02%,15.49%,15.49%,09:49:55,09:49:55,19.76,12.27%,0.00%,---,---,换手板,---,="0",9534手,1.30%,买入: 18天,---,---,CCI买入信号 MA(20日线支撑) 估值合理, 1天1板,特高压,29.28亿,29.28亿
="",="603595",东尼电子,首板,1、公司无线充电产品通过供货富士康、歌尔股份、立讯精密间接供应苹果，专用于苹果iWatch无线充电模块。
2、公司一季度净利润约1848万，同比增长42.3%，同时发布股权激励方案,0.48%,10.01%,2.43%,2.43%,09:50:06,09:50:06,34.61,10.54%,0.00%,---,---,换手板,---,="0",2.02万手,3.09%,买入: 0天,卖出: 11天,---,强势股 估值高 五星买点, 1天1板,苹果概念 | 无线充电 | 富士康概念 | 标普道琼斯A股 | 无线耳机 | 第三代半导体,62.59亿,80.45亿
="",="000758",中色股份,首板,国内最早实现稀土全分离的企业之一；公司与广东稀土（国家六大稀土集团之一）共建中色南方稀土（新丰），其中一期工程预计2022年建成投产，广东新丰地区约有20万吨的稀土资源储量,-0.67%,9.98%,18.94%,18.94%,09:55:00,09:55:00,4.96,11.21%,0.00%,---,---,换手板,放量,="0",6.00万手,2.86%,买入: 9天,---,---,CCI买入信号 强势股 北向增仓 估值较高, 1天1板,深股通 | 稀缺资源 | 稀土永磁 | 融资融券 | 小金属概念 | 资产重组 | 大基建 | 标普道琼斯A股,97.68亿,97.68亿
="",="688182",灿勤科技,首板,龙头5个交易日翻倍；云从科技上市后连续大涨。公司主要从事微波介质陶瓷元器件的研产销；产品包括介质波导滤波器、TEM介质滤波器、介质谐振器、介质天线等多种元器件，主要用于射频信号的接收、发送和处理,-1.09%,19.97%,31.53%,31.53%,09:55:22,10:52:13,16.52,21.29%,0.00%,---,---,换手板,烂板 | 红黄白涨停 | 放量 | 小盘股,="3",1.92万手,17.40%,买入: 15天,买入: 1天,---,量能巨变 CCI买入信号 强势股 估值高, 1天1板,次新股 | 融资融券 | 国家大基金持股 | 注册制次新股,11.70亿,66.08亿
="",="000655",金岭矿业,首板,新加坡铁矿石期货涨5％，创5月20日以来最大涨幅。国内第一家铁矿石上市公司，山钢集团重组事项可能导致公司实控人变更,0.55%,9.97%,34.35%,34.35%,09:55:36,09:55:36,7.94,10.28%,0.00%,---,---,换手板,---,="0",22.00万手,5.14%,买入: 9天,---,买入: 0天,CCI买入信号 强势股, 1天1板,山东国企改革 | 稀缺资源 | 融资融券 | 小金属概念 | 钴,47.27亿,47.27亿
="",="002766",索菱股份,首板,工信部正式开展新一轮新能源汽车下乡活动。车载终端市场龙头，自5月11日起撤销退市风险警示及其他风险警示,-1.90%,9.97%,24.48%,-14.93%,09:58:00,14:27:36,6.95,14.12%,0.00%,---,---,换手板,烂板,="2",4.52万手,14.21%,卖出: 6天,---,---,---,17天9板(4个一字板),车联网 | 无人驾驶 | 摘帽 | 送转填权 | 胎压监测,50.22亿,58.62亿
="",="600495",晋西车轴,首板,国务院支持中国铁路集团发行3000亿元铁路建设债券。国企改革三年行动打响收官战；国资重组转让将迎新规。中国兵器工业集团旗下，主营铁路车辆配件、车轴、精密锻造产品生产销售及相关技术咨询服务,-1.41%,10.12%,35.51%,32.95%,10:01:23,10:01:23,4.68,11.69%,0.00%,---,---,换手板,反包涨停,="0",10.47万手,7.65%,买入: 11天,---,买入: 0天,KDJ金叉 BIAS金叉, 5天3板,污水处理 | 一带一路 | 混改 | 融资融券 | 高铁 | 高端装备 | 标普道琼斯A股,56.54亿,56.54亿
="",="002060",粤 水 电,首板,公司拟104.97亿元收购广东省建筑工程集团有限公司100%股权,6.33%,10.04%,23.59%,23.59%,10:03:39,10:03:39,9.21,8.61%,0.00%,---,---,换手板,---,="0",20.17万手,15.20%,买入: 20天,买入: 0天,---,均线多头排列 BIAS金叉 机构上榜 机构净买入 多家机构买入 估值高 五星买点, 1天1板,光伏概念 | 环保 | 水利建设 | 风电 | PPP概念 | 粤港澳大湾区 | 大基建 | 乡村振兴 | 抽水蓄能 | 绿色电力 | 新型城镇化,110.69亿,110.73亿
="",="600213",亚星客车,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。A股新能源客车人气股；公司主要业务为客车产品研发、制造与销售，产品范围覆盖从5-18米各型客车；公司完成潍柴电堆12m燃料电池公交车销售并示范运营,0.00%,10.02%,43.37%,36.87%,10:16:19,13:02:32,10.32,10.02%,0.00%,---,---,换手板,烂板 | 反包涨停,="8",8928手,20.63%,卖出: 2天,买入: 11天,买入: 0天,RSI金叉 均线多头排列 MTM金叉, 5天3板,山东国企改革 | 新能源汽车 | 融资融券 | 燃料电池,22.70亿,29.52亿
="",="600733",北汽蓝谷,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。我国首家独立运营、首个获得新能源汽车生产资质的企业；华为与公司打造ARCFOX极狐品牌汽车,-0.39%,9.99%,16.32%,16.32%,10:18:10,11:27:38,8.48,10.85%,0.00%,---,---,换手板,烂板,="1",11.62万手,6.52%,买入: 19天,买入: 20天,买入: 0天,---, 1天1板,无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | MSCI概念 | 百度概念 | 新进指数 | 华为概念 | 华为汽车 | 标普道琼斯A股 | 换电概念 | 动力电池回收 | 汽车芯片,331.76亿,363.56亿
="",="603690",至纯科技,首板,电源管理芯片等供应严重短缺。公司为半导体设备中的龙头企业，主要致力于为高端先进制造业企业提供高纯工艺系统的解决方案，半导体湿法设备是核心产品；子公司波汇科技是行业内少数具有垂直集成制造能力的厂商之一,0.22%,9.99%,6.73%,6.73%,10:22:14,13:00:03,40.29,10.81%,0.00%,---,---,换手板,烂板 | 放量,="1",1.22万手,3.62%,买入: 16天,---,---,KDJ金叉 CCI买入信号 MTM金叉 MA(20日线支撑) 估值较低, 1天1板,沪股通 | 5G | 人工智能 | 资产重组 | 集成电路概念 | 国家大基金持股 | 中芯国际概念 | 专精特新,127.98亿,128.32亿
="",="002245",蔚蓝锂芯,首板,发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。全资子公司天鹏电源是国内高端工具类锂电池主要供应商；拥有目前国内外顶尖水平圆柱型锂电池自动化产线，具有大规模的圆柱型动力锂离子电池生产能力,-0.05%,10.01%,6.15%,6.15%,10:27:51,10:27:51,21.76,10.51%,0.00%,---,---,换手板,---,="0",6.05万手,6.57%,买入: 0天,---,卖出: 18天,MA(20日线支撑) 强势股 机构上榜 北向增仓 机构净买入 多家机构买入 机构关注最多 估值较低 五星买点, 1天1板,深股通 | 创投 | 节能照明 | 锂电池 | 芯片概念 | 基金重仓 | 快递物流 | Mini LED,210.85亿,225.39亿
="",="600259",广晟有色,首板,公司是广东省稀土产业集团的唯一稀土上市平台，上半年净利润同比翻近3倍,-0.63%,9.99%,10.45%,10.45%,10:27:56,10:27:56,39.85,11.31%,0.00%,---,---,换手板,放量,="0",1.76万手,3.26%,买入: 16天,---,---,KDJ金叉 CCI买入信号 MTM金叉 MA(20日线支撑) 估值较低, 1天1板,稀缺资源 | 稀土永磁 | 新材料概念 | 融资融券 | 小金属概念 | 年报预增,120.27亿,134.07亿
="",="002201",正威新材,首板,1、公司的主要产品类别玻璃纤维复合材料就有应用于风力发电领域的风电机舱罩和叶片，风电叶片是公司现有的主要产品之一；
2、公司并购天健九方旗下相关标的公司，注入高端毫米波芯片、模组、天线及应用系统等相关业务；前三季度净利预增150%至200%,-0.21%,10.02%,45.04%,45.04%,10:40:51,13:34:27,21.19,10.25%,0.00%,---,---,换手板,烂板 | 反包涨停,="2",1.13万手,4.81%,买入: 16天,买入: 2天,买入: 0天,BIAS金叉 强势股 北向增仓 估值高, 1天1板,深股通 | 风电 | 新材料概念 | 芯片概念,98.38亿,98.63亿
="",="688071",华依科技,首板,龙头5个交易日翻倍；云从科技上市后连续大涨。工信部正式开展新一轮新能源汽车下乡活动。国内专业的汽车动力总成智能测试设备和服务提供商；主要客户包括上汽通用、广汽本田、卡特彼勒等,0.00%,20.01%,20.71%,20.71%,10:55:31,10:55:31,38.87,20.01%,0.00%,---,---,换手板,放量 | 小盘股,="0",5963手,10.29%,卖出: 4天,---,---,CCI买入信号 强势股 估值合理, 1天1板,次新股 | 新能源汽车 | 基金重仓 | 社保重仓 | 融资融券 | 燃料电池 | 高端装备 | 注册制次新股 | 专精特新,6.02亿,28.31亿
="",="603315",福鞍股份,首板,发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。公司拟收购天全福鞍100%股权，积极切入锂电池负极材料石墨化加工领域,0.46%,10.00%,3.38%,-2.03%,10:56:31,10:56:31,24.09,11.27%,0.00%,---,---,换手板,---,="0",1.96万手,2.05%,卖出: 25天,---,---,KDJ金叉 MACD买入信号 信托重仓 估值高, 1天1板,工业4.0 | 环保 | 资产重组 | 节能环保 | 特钢概念,52.99亿,73.96亿
="",="600540",新赛股份,首板,印度政府宣布禁止大米出口，全球粮食持续涨价。公司农业主要产品为棉籽、葵花籽、菜籽及其他油料作物，立足于新疆棉花产业，聚焦棉业全产业链
,-0.37%,9.93%,15.32%,15.32%,10:57:20,11:02:38,5.87,11.17%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",5.25万手,8.48%,买入: 10天,---,---,KDJ金叉 BIAS金叉 MTM金叉 多方炮, 1天1板,一带一路 | 粮食安全 | 建筑节能 | 风电 | 乡村振兴 | 冷链物流 | 农业种植 | 低辐射玻璃,27.64亿,34.13亿
="",="603158",腾龙股份,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司主营产品包括新能源汽车热管理系统零部件，客户包括蔚来汽车、小鹏汽车、国能汽车等国内新兴新能源车整车制造企业,-0.39%,10.04%,16.46%,16.46%,11:14:53,11:26:14,11.18,11.35%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",2.92万手,5.91%,买入: 13天,---,---,CCI买入信号 强势股, 1天1板,新能源汽车 | 汽车电子 | 特斯拉 | 燃料电池 | 蔚来汽车概念 | 节能环保 | 新能源车零部件,39.19亿,39.19亿
="",="002806",华锋股份,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。新能源商用车电控及驱动系统的主流供应商；公司与阿波罗公司签订全面战略合作框架协议，双方成立自动驾驶电动专用底盘联合研发小组，构建创新协作平台,0.09%,10.03%,10.85%,10.85%,11:21:12,11:21:12,11.85,11.16%,0.00%,---,---,换手板,放量 | 小盘股,="0",1.65万手,4.99%,买入: 14天,---,---,KDJ金叉 BIAS金叉 MTM金叉 MA(20日线支撑) 估值较低, 1天1板,无人驾驶 | 新能源汽车 | 燃料电池 | 回购概念 | 高商誉 | 新能源车零部件,16.67亿,22.72亿
="",="688280",精进电动-UW,首板,习主席博鳌论坛称，将放宽汽车外资股比限制和降低进口车关税。公司是新能源汽车电驱动系统国内领军企业之一，从事电驱动系统的研产销及服务，已对驱动电机、控制器、传动三大总成自主掌握核心技术和实现完整布局
,0.00%,20.00%,27.72%,27.72%,11:27:07,11:27:07,12.90,22.62%,0.00%,---,---,换手板,黄线涨停 | 小盘股,="0",3.87万手,28.08%,买入: 17天,买入: 0天,---,KDJ金叉 强势股 游资上榜 五星买点, 1天1板,次新股 | 新能源汽车 | 融资融券 | 注册制次新股,13.51亿,76.14亿
="",="300926",博俊科技,首板,龙头5个交易日翻倍；云从科技上市后连续大涨。工信部正式开展新一轮新能源汽车下乡活动。公司主要从事汽车精密零部件和精密模具的研产销，为金康赛力斯直接供货车身件,0.15%,20.00%,14.86%,14.86%,11:27:57,11:27:57,24.66,20.12%,0.00%,---,---,换手板,放量 | 小盘股,="0",2.86万手,26.40%,买入: 0天,---,---,KDJ金叉 MACD金叉 RSI金叉 CCI买入信号 MTM金叉 MA(20日线支撑) MACD买入信号 游资上榜 估值合理 五星买点, 1天1板,新能源汽车 | 特斯拉 | 融资融券 | 年报预增 | 华为汽车,9.63亿,35.05亿
="",="603917",合力科技,首板,工信部正式开展新一轮新能源汽车下乡活动。1、公司是中国模具工业协会认定的首批四家铸造模具重点骨干企业之一；
2、主营汽车用发动机缸体模具等,0.00%,10.02%,13.00%,13.00%,11:29:11,11:29:11,15.04,11.99%,0.00%,---,---,换手板,---,="0",9478手,2.84%,买入: 16天,---,---,KDJ金叉 CCI买入信号 MTM金叉 MA(20日线支撑) 强势股 估值合理, 1天1板,新能源汽车,23.58亿,23.58亿
="",="002256",兆新股份,首板,发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。公司参股公司上海中锂建有年产8000吨电池级锂盐产品车间,0.00%,10.19%,7.72%,7.35%,11:29:48,11:29:48,2.92,11.03%,0.00%,---,---,换手板,放量,="0",20.67万手,8.21%,买入: 15天,---,---,KDJ金叉 RSI金叉 CCI买入信号 MTM金叉 MA(20日线支撑), 1天1板,光伏概念 | 充电桩 | 摘帽 | 标普道琼斯A股 | 绿色电力,40.62亿,54.97亿
="",="603178",圣龙股份,首板,工信部正式开展新一轮新能源汽车下乡活动。公司收到四川理想新晨科技有限公司定点通知，四川理想将选择公司作为其新能源增程车型零部件供应商并为其开发和供应全程可变排量机油泵，生命周期约实现 2.5-3亿元销售额,0.74%,10.02%,17.43%,8.13%,13:00:02,13:00:02,11.97,10.42%,0.00%,---,---,换手板,---,="0",4.76万手,4.30%,买入: 15天,---,买入: 0天,RSI金叉 CCI买入信号 BIAS金叉 MA(20日线支撑) 估值较高, 1天1板,新能源汽车 | 回购概念 | 新能源车零部件,24.06亿,28.30亿
="",="603161",科华控股,首板,工信部正式开展新一轮新能源汽车下乡活动。1、公司设立合资公司江苏科华动力，主要业务为氢能源燃料电池相关部件的研产销；
2、公司为“赛力斯华为智选SF5”汽车搭载的“驼峰智能增程系统”提供其涡轮增压部分涡轮壳和中间壳部件,-0.45%,10.04%,12.27%,12.27%,13:00:08,13:12:05,12.17,11.86%,0.00%,---,---,换手板,炸板涨停 | 放量 | 小盘股,="2",2.31万手,3.63%,买入: 12天,---,---,KDJ金叉 CCI买入信号 MTM金叉 强势股, 1天1板,新能源汽车 | 燃料电池 | 华为汽车,16.23亿,16.23亿
="",="603663",三祥新材,首板,发改委等九部门：研发储备钠离子、固态锂离子电池等高能量密度储能技术。1、公司主营锆系制品，公司与宁德时代合作投资建设镁合金项目，将共同开发镁合金动力电池壳体材料；
2、参股子公司宁德文达已接到宁德时代的订单需求，目前已完成货样的生产,-1.12%,10.02%,10.71%,10.71%,13:04:56,13:04:56,17.68,11.26%,0.00%,---,---,换手板,放量,="0",1.21万手,2.93%,买入: 17天,---,---,KDJ金叉 CCI买入信号 MTM金叉 估值较低, 1天1板,稀土永磁 | 新材料概念 | 宁德时代概念 | 专精特新,38.00亿,38.00亿
="",="688509",正元地信,首板,龙头5个交易日翻倍；云从科技上市后连续大涨。云从科技上市后大涨。国内领先的地理时空数据服务商；公司主营业务包括测绘地理信息技术服务、地下管网安全运维保障技术服务和智慧城市建设运营服务,2.85%,19.93%,39.54%,39.54%,13:06:05,13:20:56,6.74,23.67%,0.00%,---,---,换手板,炸板涨停 | 红黄白涨停 | 小盘股,="2",3.78万手,32.04%,买入: 3天,买入: 1天,---,量能巨变 强势股, 1天1板,智慧城市 | 物联网 | 次新股 | 融资融券 | PPP概念 | 地下管网 | 注册制次新股,10.89亿,51.90亿
="",="603139",康惠制药,首板,公司拥有十几个剂型107个中药品种，是行业拥有药品生产批准文号较多的企业之一,8.21%,10.01%,8.53%,8.53%,13:24:36,13:24:36,17.69,8.46%,0.00%,---,---,换手板,放量 | 小盘股,="0",9053手,3.57%,买入: 0天,---,---,MTM金叉 MA(20日线支撑) 强势股 估值较低 五星买点, 1天1板,中药 | 牙科医疗 | 幽门螺旋杆菌,17.67亿,17.67亿
="",="605033",美邦股份,首板,公司主营农药制剂的研产销，主要产品为杀菌剂、杀虫剂等，产品品种规格丰富，拥有数百种杀虫剂农药登记证,-0.67%,10.02%,32.92%,32.92%,13:31:57,13:31:57,27.78,10.94%,0.00%,---,---,换手板,小盘股,="0",3283手,17.52%,买入: 23天,卖出: 25天,---,均线多头排列 强势股 估值较低, 1天1板,次新股 | 年报预增 | 核准制次新股,9.39亿,37.56亿
="",="603055",台华新材,首板,公司是国内锦纶面料细分领域龙头，2021年净利同比增长288%,-0.63%,10.05%,21.36%,21.36%,13:33:21,13:33:21,12.16,11.36%,0.00%,---,---,换手板,---,="0",1.19万手,0.94%,买入: 78天,买入: 15天,---,KDJ金叉 CCI买入信号 强势股 机构上榜 机构净买入 多家机构买入 估值较低, 1天1板,基金重仓 | 锦纶（尼龙） | 长三角一体化 | 露营经济,97.85亿,105.66亿
="",="000831",五矿稀土,首板,公司实际控制人中国五矿集团与中国铝业集团、赣州市政府等正在筹划相关稀土资产的战略性重组,-1.00%,10.01%,9.97%,9.97%,13:39:57,14:45:27,29.56,11.55%,0.00%,---,---,换手板,炸板涨停 | 放量,="2",2.53万手,7.83%,买入: 17天,---,---,KDJ金叉 RSI金叉 CCI买入信号 MTM金叉 MA(20日线支撑) 多方炮 机构上榜 北向增仓 机构净买入 多家机构买入 估值合理, 1天1板,深股通 | 稀土永磁 | 融资融券 | 小金属概念 | 标普道琼斯A股,289.95亿,289.95亿
="",="002923",润都股份,首板,全国“电子烟零售许可证”正式发布。1、公司主营业务包含化学药制剂、化学原料药、医药中间体三大品类，涵盖心脑血管、消化、麻醉等各个领域；
2、拥有调节大麻素受体活动的专利，子公司烟碱项目主要应用于电子烟及医药等相关领域，目前项目相关研发及建设审批事项正在开展中,1.79%,10.01%,42.44%,42.16%,13:40:33,14:43:39,20.23,9.35%,0.00%,---,---,换手板,烂板 | 反包涨停 | 黄线涨停,="3",3787手,12.24%,买入: 9天,---,买入: 1天,KDJ金叉 量能巨变 BIAS金叉 多方炮 估值合理, 1天1板,电子烟 | 青蒿素 | 仿制药一致性评价 | 幽门螺旋杆菌,37.19亿,48.83亿
