="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="603035",常熟汽饰,0.56%,6.77%,17.32%,12.64%,="4",="14",="10",13:39:45,13:40:39,15.29,8.06%,-2.92%,-0.26%,1.31%,="2",717手,10.93%,买入: 17天,买入: 7天,---,KDJ金叉 均线多头排列 MTM金叉 估值较高, 0天0板,无人驾驶 | 新能源汽车 | 特斯拉 | 基金重仓 | 恒大概念 | 蔚来汽车概念,下游车企加速复工复产。国内乘用车内饰件主要供应商之一；公司是北汽蓝谷ARCFOX极狐的供应商,58.11亿,58.11亿
="",="600853",龙建股份,1.12%,6.74%,17.13%,4.49%,="2",="15",="13",09:45:42,09:50:06,3.80,5.85%,-3.06%,-2.11%,-0.26%,="4",899手,12.43%,买入: 1天,---,买入: 1天,WR金叉 MA(20日线支撑) 估值较高, 0天0板,农村电商 | 一带一路 | 创投 | 水利建设 | PPP概念 | 大基建 | 黑龙江自贸区 | 新型城镇化,《关于推进以县城为重要载体的城镇化建设的意见》印发。东北地区最具实力、最具规模的大型综合建筑集团之一，黑龙江省国资委下唯一上市公司；公司具有公路工程施工总承包特级、市政公用工程施工总承包一级、对外援助成套项目管理企业资格（全国仅十家）等资质,38.19亿,38.57亿
="",="002074",国轩高科,0.92%,6.25%,29.31%,24.38%,="9",="16",="7",11:24:45,11:24:45,34.51,5.31%,-3.41%,0.84%,2.43%,="1",4670手,5.33%,买入: 17天,买入: 0天,---,强势股 五星买点, 0天0板,深股通 | 充电桩 | 新能源汽车 | 锂电池 | 智能电网 | 融资融券 | 股权转让 | MSCI概念 | 华为概念 | 标普道琼斯A股 | 储能 | 动力电池回收,下游车企加速复工复产；碳酸锂价格持稳。国内动力锂电池领军企业之一，磷酸铁锂电池龙头，中标国家电网多功能移动储能充电车项目,414.87亿,574.49亿
="",="000886",海南高速,0.22%,5.26%,28.73%,10.75%,="16",="17",="1",09:49:48,09:49:48,4.80,7.38%,-4.38%,0.00%,10.00%,="1",4492手,10.03%,卖出: 3天,卖出: 0天,卖出: 0天,机构上榜 游资上榜 多家机构买入 估值合理 五星卖点, 0天0板,债转股 | 海南自贸区,公司为国企，实控人海南省交通运输厅，主营房地产以及高等级公路的建设及养护管理,46.75亿,47.46亿
="",="603717",天域生态,0.00%,5.00%,10.00%,-12.95%,-6,="18",="24",10:03:17,10:03:17,9.24,6.57%,-4.55%,-2.16%,-5.09%,="1",265手,8.81%,卖出: 7天,卖出: 7天,---,---, 0天0板,猪肉 | 光伏概念 | PPP概念 | 雄安新区 | 特色小镇,公司通过生态环境、天域田园、生态牧业等业务协同发展,26.81亿,26.81亿
="",="000949",新乡化纤,1.94%,5.00%,10.00%,1.39%,="10",="19",="9",09:46:12,09:49:24,3.78,3.00%,-4.55%,-2.12%,1.32%,="3",4741手,5.78%,买入: 10天,---,---,MA(20日线支撑) 北向增仓 估值较低, 0天0板,深股通,公司一季报净利润同比增长570%，因产品氨纶纤维销售价格较上年同期大幅上涨，销量大幅增加，营业收入大幅提升,53.04亿,55.44亿
="",="002780",三夫户外,-2.64%,4.96%,9.99%,-10.89%,-9,="20",="29",10:28:03,10:28:03,16.29,11.42%,-4.57%,-3.01%,-10.01%,="1",232手,26.44%,卖出: 8天,卖出: 8天,卖出: 8天,MTM金叉, 0天0板,电商 | 体育产业 | 冬奥会 | 共享单车 | 冰雪产业 | 口罩 | 露营经济,露营热度达历史峰值。公司产品主要分为户外服装、户外鞋袜与户外装备三大类别，涵盖登山、露营、徒步等众多户外场景,21.28亿,25.67亿
="",="603518",锦泓集团,0.00%,4.82%,10.03%,-3.43%,="1",="21",="20",10:32:47,10:35:11,8.26,6.44%,-4.73%,-0.36%,-1.94%,="2",3883手,9.87%,卖出: 4天,---,---,KDJ金叉 强势股 估值较高, 0天0板,电商 | 三胎概念 | 新零售 | 高商誉 | 露营经济,婴幼儿照护个税抵扣出炉。公司是国内优质女装企业，与李佳琦直播合作，销售TW品牌女装；旗下童装在天猫有旗舰店，双11活动期间线上销售情况良好，各品牌均有不同程度的增长,24.50亿,28.68亿
="",="002278",神开股份,0.41%,4.48%,9.98%,3.05%,="7",="22",="15",13:00:00,13:00:00,5.13,5.12%,-5.00%,-0.78%,-0.97%,="1",3233手,3.85%,买入: 9天,卖出: 27天,---,KDJ金叉 小步上扬 MA(20日线支撑) 强势股 估值较低, 0天0板,页岩气 | 可燃冰 | 壳资源 | 油服 | 俄乌冲突概念 | 中俄贸易,巴菲特做多西方石油公司；原油期货再度大涨。我国石油化工装备制造业的骨干企业之一，主导产品为综合录井仪、钻井仪表、防喷器和防喷器控制装置,17.49亿,18.67亿
T,="002183",怡 亚 通,-1.83%,3.90%,16.10%,16.10%,="19",="23",="4",09:43:57,09:59:54,8.52,5.84%,-5.54%,0.94%,9.98%,="3",6.87万手,20.08%,卖出: 7天,卖出: 6天,买入: 0天,KDJ金叉 阶段新高 MACD金叉 MACD买入信号 强势股 游资上榜 估值较低, 0天0板,农村电商 | 电商 | 深股通 | 智能制造 | 上海自贸区 | 金融改革 | 大数据 | 健康中国 | 融资融券 | 新零售 | 深圳国企改革 | 快递物流 | 粤港澳大湾区 | 白酒概念 | 国产操作系统 | 供应链金融 | 乡村振兴 | 电子烟 | 金融科技 | 标普道琼斯A股 | 网红经济 | 社区团购 | 统一大市场,1、公司间接控股大唐酒业；
2、中国消费品供应链领域的领军企业，拥有六大区域集散中心，覆盖全国30多个省级行政区的300多个城市的物流网络,203.03亿,221.27亿
="",="601607",上海医药,3.21%,3.80%,10.00%,-4.92%,="2",="24",="22",09:40:38,09:43:59,19.41,0.67%,-5.64%,-2.63%,-2.06%,="23",6075手,5.59%,卖出: 12天,---,卖出: 7天,MTM金叉 估值合理, 0天0板,沪股通 | 生物疫苗 | 上海国企改革 | 证金 | 医药电商 | 互联网医疗 | 上海自贸区 | 健康中国 | 融资融券 | 禽流感 | MSCI概念 | 医疗器械概念 | 仿制药一致性评价 | 标普道琼斯A股 | 流感 | 新冠治疗,1、全国性医药商业龙头，国内第二大医药流通企业和最大的进口药品服务平台，具备全产业链优势，此前曾引入辉瑞新冠药
2、子公司联合康希诺生物增资上药康希诺11亿，用以生产新冠疫苗,373.40亿,717.30亿
="",="000779",甘咨询,10.01%,2.72%,10.01%,-27.01%,-3,="25",="28",09:25:00,09:31:09,16.62,14.15%,-6.63%,-9.99%,-9.99%,="2",4071手,45.96%,卖出: 8天,卖出: 8天,卖出: 8天,估值合理, 4天3板,建筑节能 | 水利建设 | 资产重组 | 大基建 | 口罩 | 新型城镇化,《关于推进以县城为重要载体的城镇化建设的意见》印发。1、公司并购重组国有优质资产，甘肃工程咨询集团，甘肃省唯一的水利行业甲级勘察设计单位，在省内行业排名第一；
2、21年9月26日，甘肃成立东数西算产业联盟，公司参股（10%）的丝绸之路信息港股份有限公司曾与华为等共同签约全国一体化大数据中心省级节点战略合作协议,29.67亿,63.19亿
="",="600071",凤凰光学,-0.63%,2.20%,16.68%,-39.59%,="20",="26",="6",09:56:48,09:56:48,30.64,3.30%,-7.10%,-0.82%,4.44%,="1",3106手,5.21%,卖出: 4天,---,---,---, 0天0板,物联网 | 智能制造 | 锂电池 | 食品安全 | 资产重组 | 安防 | 集成电路概念,台积电、三星晶圆代工筹划涨价。公司控股股东将由凤凰控股变更为中电海康；公司拟购买国盛电子和普兴电子股权，标的主营半导体外延材料,72.76亿,86.27亿
T,="603767",中马传动,-3.60%,1.89%,10.00%,-15.86%,="1",="27",="26",11:04:20,11:04:20,11.31,7.51%,-7.37%,-4.51%,-9.81%,="1",25手,16.22%,---,---,---,估值较高, 4天3板,新能源汽车 | 乡村振兴 | 农机 | 新能源车零部件,下游车企加速复工复产。公司为国内皮卡变速器龙头，主营业务涉及汽车变速器及车辆齿轮，是长城汽车皮卡车型手动挡变速器的供应商,34.36亿,34.61亿
="",="000609",中迪投资,7.21%,1.38%,9.97%,-22.70%,="1",="28",="27",09:30:18,09:55:09,6.61,4.42%,-7.81%,-9.98%,-9.98%,="7",2602手,30.46%,卖出: 8天,---,---,---, 5天4板(2个一字板),互联网金融 | 创投 | 参股新三板 | 壳资源 | 高铁 | 摘帽 | 金融科技 | 磷化工 | 北交所概念,首套房贷款利率下限调整；杭州放宽二手住房交易政策。ST公司申请摘帽迎来高峰期。成都住宅地产开发商；5月16日起撤销退市风险警示,19.31亿,19.78亿
="",="002871",伟隆股份,10.04%,0.98%,10.37%,-12.11%,="4",="29",="25",09:30:00,09:30:00,11.36,6.07%,-8.24%,-6.34%,-9.68%,="1",9.43万手,22.40%,卖出: 8天,---,---,MA(20日线支撑) 强势股 估值较高, 3天2板,军工 | 回购概念 | 地下管网,《关于推进以县城为重要载体的城镇化建设的意见》印发。公司主营排水阀门产品，营销中心设立了专门的军品销售部，现已签署多个军品订单,9.76亿,19.20亿
