="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="600730",中国高科,-1.20%,3.77%,25.44%,10.76%,-1,="12",="13",10:52:49,10:56:46,6.05,6.89%,-5.62%,-0.66%,-3.80%,="2",626手,10.87%,买入: 8天,买入: 2天,---,估值高, 0天0板,职业教育 | 中字头股票 | 创投 | 在线教育 | 融资融券,全国稳住经济大盘会议要求保就业。公司主营方向职业教育，以高等学历职业教育、职业培训以及教育领域的国际合作作为重点布局领域,35.49亿,35.49亿
="",="002798",帝欧家居,2.21%,3.58%,15.93%,3.28%,-2,="13",="15",10:26:21,10:26:21,9.85,3.58%,-5.83%,-1.83%,-4.77%,="1",18.77万手,8.54%,买入: 9天,---,---,MA(20日线支撑), 0天0板,参股新三板 | 标普道琼斯A股,公司为国内高端卫浴品牌企业，与恒大3950万已逾期应收票据将抵房解决，应收账款余额达34.79亿,22.77亿,38.11亿
="",="600683",京投发展,-1.24%,3.53%,7.26%,-3.83%,="5",="14",="9",09:59:41,09:59:41,4.99,6.40%,-5.85%,0.20%,-2.61%,="1",5088手,4.41%,买入: 13天,卖出: 1天,买入: 2天,MA(20日线支撑) 估值合理, 0天0板,创投 | 土地流转 | 养老概念 | 谷歌概念 | 特色小镇 | 北交所概念,“三价合一”（二手房交易中涉及的成交价、贷款评估价、国土局计税评估价，三个价格将不再各自独立计算）政策在深圳正式落地；上证50回踩年线，房地产为蓝筹权重板块。公司实控人为北京市国资委，北京优质地产商,36.96亿,36.96亿
="",="600962",国投中鲁,7.53%,2.77%,50.00%,28.93%,-6,="15",="21",09:34:37,11:10:35,13.37,3.80%,-6.57%,-10.02%,-10.02%,="7",65手,22.09%,卖出: 1天,卖出: 1天,买入: 0天,游资上榜, 3天2板(1个一字板),苹果期货 | 饮料,国企改革三年行动打响收官战；国资重组转让将迎新规。国投集团旗下，集团为首批央企改革试点单位，公司主营浓缩果蔬汁的生产和销售,33.96亿,35.06亿
="",="600081",东风科技,-0.06%,2.61%,64.32%,58.59%,="10",="16",="6",09:36:57,09:37:33,16.10,7.26%,-6.72%,-10.00%,-1.12%,="2",864手,20.08%,买入: 13天,---,买入: 0天,阶段新高 均线多头排列 估值合理, 5天4板,传感器 | 新能源汽车 | 汽车电子 | 融资融券 | 资产重组 | 新能源车零部件 | 华为汽车 | EDR概念,国企改革三年行动打响收官战；国资重组转让将迎新规。工信部：组织新一轮新能源汽车下乡活动。东风股份停牌，股东股权或转让；公司为东风汽车配套汽车仪表系统、饰件系统等提供产品，旗下拥有HUD，PSA集团全球唯一HUD供应商；公司并购东风马勒热系统有限公司、上海弗列加滤清器有限公司等事项获证监会无条件通过,50.48亿,75.74亿
T,="600284",浦东建设,10.05%,1.02%,28.54%,9.03%,-2,="17",="19",09:25:03,09:25:03,8.95,0.45%,-8.21%,-7.37%,-9.94%,="1",9.57万手,23.11%,卖出: 1天,---,---,均线多头排列 MTM金叉 估值较高, 3天2板,沪股通 | 上海国企改革 | 创投 | 上海自贸区 | 汇金 | 融资融券 | 环杭州湾大湾区 | 大基建 | 自由贸易港 | 标普道琼斯A股,上海市人民政府印发《上海市加快经济恢复和重振行动方案》。国企改革三年行动打响收官战；国资重组转让将迎新规。公司实控人为上海浦东国资委，主营基础设施项目投资、建筑工程施工、沥青砼及相关产品生产销售、环保业务,86.84亿,86.84亿
="",="600636",国新文化,5.65%,0.59%,35.12%,11.85%,="0",="18",="18",09:31:54,10:12:21,8.55,0.59%,-8.56%,-6.08%,-6.43%,="3",609手,10.39%,买入: 14天,---,---,---, 3天2板,职业教育 | 在线教育 | 汇金 | 融资融券 | 资产重组 | 高商誉 | 超高清视频,5月8日，国务院印发关于推行终身职业技能培训制度的意见，提出大规模开展高质量的职业技能培训。全资子公司奥威亚为教育信息化综合服务商,37.66亿,38.21亿
="",="003009",中天火箭,4.85%,-1.54%,44.64%,28.39%,="5",="19",="14",09:50:18,09:57:45,49.30,0.80%,-10.49%,-8.58%,-3.94%,="4",70手,34.83%,买入: 16天,---,---,估值合理, 4天3板,光伏概念 | 航天军工 | 深股通 | 军工 | 军民融合 | 基金重仓 | 专精特新,中航电子、中航机电两大军工央企宣布合并。国内领先的小型固体火箭生产商；公司专注于小型固体火箭及其延伸产品的研产销，拥有国内首款20kg级别以下的小型制导火箭，WR系列增雨防雹火箭产品市占率常年保持第一,21.70亿,76.61亿
="",="600506",香梨股份,-2.40%,-1.58%,23.84%,5.75%,="4",="20",="16",09:40:23,09:40:23,13.11,4.38%,-10.51%,-4.73%,-5.42%,="1",1.74万手,17.72%,买入: 11天,卖出: 1天,---,RSI金叉 MTM金叉, 2天1板,土地流转 | 摘帽 | 乡村振兴 | 农业种植,国企改革三年行动打响收官战；国资重组转让将迎新规。公司实控人中国财政部， 主要从事以库尔勒香梨为主的果品种植、加工和销售；公司5月10日起撤销退市风险警示及其他风险警示,19.36亿,19.36亿
="",="002554",惠博普,6.85%,-1.64%,25.62%,5.00%,="9",="21",="12",09:30:00,09:30:00,3.59,1.70%,-10.70%,-8.64%,-3.06%,="1",5.90万手,20.52%,买入: 17天,---,---,MA(20日线支撑) 估值合理, 2天1板,光伏概念 | 一带一路 | 环保 | 天然气 | 油服 | 地下管网 | 垃圾分类 | 碳中和 | 俄乌冲突概念,原油价格大涨；龙头中国海油创新高。1、公司正重点发展新能源尤其是氢能等领域，业务方面正在开展水质净化厂内光伏发电制取绿氢项目；
2、国际化的油气资源开发及利用综合解决方案服务商；公司拥有二氧化碳捕集回收技术,30.78亿,48.35亿
="",="002660",茂硕电源,10.03%,-10.03%,63.06%,15.62%,="0",="22",="22",09:30:00,09:36:12,8.88,0.00%,-18.23%,-10.02%,-10.02%,="3",3.18万手,34.06%,卖出: 2天,---,---,估值合理, 5天4板,光伏概念 | 创投 | 跨境电商 | 节能照明 | OLED | 区块链 | 股权转让 | 新零售 | 知识产权保护 | 柔性屏 | 数字乡村,工信部组织新一轮新能源汽车下乡活动；龙头十二连板。公司拥有新能源汽车充电桩业务，多次中标充电桩EPC工程，参股充电桩公司聚电网络科技公司,24.36亿,24.36亿
