="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
2、公司化肥贸易业务由所属子公司华垦公司开展，主要从事用于农业种植的化肥产品进口，根据国内市场需求进行采购和销售;种业综合实力位居行业前列,115.29亿,122.40亿
="",="600200",江苏吴中,1.57%,7.05%,-2.40%,-29.05%,-15,="10",="25",10:46:35,11:03:14,9.57,7.53%,-2.64%,-3.97%,-10.03%,="7",1631手,25.81%,卖出: 9天,---,卖出: 9天,---, 8天4板,融资融券 | 仿制药一致性评价 | 流感 | 医美 | 幽门螺旋杆菌,消息称公司或参与新冠口服药VV116项目,67.86亿,68.18亿
="",="600135",乐凯胶片,-1.78%,6.79%,17.25%,11.04%,-1,="11",="12",13:07:10,13:07:10,6.61,8.72%,-2.94%,-0.45%,-0.45%,="1",431手,4.04%,买入: 11天,买入: 4天,---,估值较高, 0天0板,光伏概念 | 京津冀一体化 | 锂电池 | 融资融券 | 雄安新区 | 医疗器械概念 | 柔性屏 | 年报预增,下游车企加速复工复产；碳酸锂价格持稳。公司锂电涂层隔膜生产线扩建项目完成设备安装、调试、化工试车，将正式投入使用，9月份计划进行小批量生产,28.28亿,36.57亿
="",="600506",香梨股份,-1.99%,6.77%,23.84%,5.75%,-8,="12",="20",10:35:10,10:35:10,11.83,9.44%,-2.95%,-2.20%,-3.89%,="1",439手,6.91%,买入: 11天,卖出: 1天,---,RSI金叉 MTM金叉, 0天0板,土地流转 | 摘帽 | 乡村振兴 | 农业种植,年报披露高峰期渐进，扭亏*ST股即将摘帽。1、公司以库尔勒香梨的种植、加工、销售以及其他果品经营为主业，20年下半年开始开展棉花经营业务；
2、公司拟13.98亿元收购统一石化、陕西统一和无锡统一，新增润滑油业务
,17.47亿,17.47亿
="",="002780",三夫户外,1.51%,6.67%,9.99%,-10.89%,="9",="13",="4",10:18:57,10:35:33,15.52,6.37%,-3.06%,-2.64%,4.96%,="2",268手,26.70%,卖出: 8天,卖出: 8天,卖出: 8天,MTM金叉, 2天1板,电商 | 体育产业 | 冬奥会 | 共享单车 | 冰雪产业 | 口罩 | 露营经济,露营热度达历史峰值。公司产品主要分为户外服装、户外鞋袜与户外装备三大类别，涵盖登山、露营、徒步等众多户外场景,20.28亿,24.46亿
="",="603023",威帝股份,-2.58%,6.36%,4.30%,-0.75%,-2,="14",="16",10:15:33,10:15:33,5.35,10.08%,-3.25%,0.00%,-2.24%,="1",6152手,11.32%,卖出: 2天,卖出: 4天,卖出: 5天,KDJ金叉 MACD金叉 CCI买入信号 MACD买入信号 估值高, 0天0板,车联网 | 无人驾驶 | 汽车电子 | 股权转让 | 黑龙江自贸区 | 胎压监测 | EDR概念,新一轮汽车下乡政策6月初有望出台，每辆车或补贴3000元-5000元。汽车电子控制产品供应商；公司拟收购上海飞尔汽车零部件股份有限公司100%股权,30.07亿,30.07亿
="",="600148",长春一东,-2.34%,5.53%,19.62%,11.22%,="7",="15",="8",09:48:23,10:04:11,14.88,9.25%,-4.06%,-3.90%,0.81%,="4",1417手,6.85%,卖出: 1天,---,买入: 0天,估值高, 2天1板,军工 | 混改 | 新能源汽车 | 资产重组 | 中俄贸易,国资委：继续加大优质资产注入上市公司力度。新一轮汽车下乡政策6月初有望出台，每辆车或补贴3000元-5000元。兵器工业集团旗下上市公司，北方工业集团唯一上市平台，中国汽车离合器行业的首家上市公司，为一汽集团、长安汽车等提供配件,21.06亿,21.06亿
="",="002496",辉丰股份,-2.64%,5.28%,23.20%,-3.45%,-1,="16",="17",10:32:33,10:32:33,3.19,8.87%,-4.20%,-1.88%,-2.51%,="1",4177手,11.94%,卖出: 11天,---,---,估值合理, 0天0板,农村电商 | 电商 | 摘帽 | 乡村振兴 | 医疗废物处理,ST公司申请摘帽迎来高峰期。5月13日起撤销其他风险警示,32.53亿,48.09亿
="",="603088",宁波精达,0.35%,5.13%,9.08%,5.91%,="6",="17",="11",09:34:42,09:34:57,9.01,5.26%,-4.45%,-1.22%,-0.44%,="2",19手,4.49%,买入: 17天,---,---,KDJ金叉 CCI买入信号 MTM金叉 多方炮 估值合理, 0天0板,新能源汽车 | 芯片概念,下游车企加速复工复产；碳酸锂价格持稳。公司主要业务为换热器装备和精密压力机，锂电新技术钢壳4680的拉伸设备样品已完成；通过SOP，MSOP等半导体引线框架高速精密冲压，进入半导体芯片封装等高端制造领域,27.69亿,27.69亿
="",="600611",大众交通,-0.65%,4.90%,1.87%,-0.93%,="3",="18",="15",10:37:02,10:37:02,3.21,5.94%,-4.75%,-1.87%,-1.56%,="2",1.57万手,2.75%,买入: 9天,---,---,MA(20日线支撑) 估值高, 0天0板,智能交通 | 融资融券 | 网约车 | 标普道琼斯A股,公司网约车平台“大众出行”不仅拥有约租车网络平台经营资质，还有符合规定的车辆—合规“网约车”专用号段“沪A?M”以及上海地区首张网络预约出租汽车经营许可证,50.18亿,75.89亿
="",="600159",大龙地产,-1.27%,4.14%,0.31%,-9.48%,="1",="19",="18",09:39:59,09:39:59,3.27,5.83%,-5.22%,-0.31%,-2.75%,="1",5239手,9.06%,卖出: 3天,---,卖出: 27天,估值高, 0天0板,京津冀一体化 | 参股银行,首套房贷款利率下限调整；杭州放宽二手住房交易政策。公司主要销售地区在北京市顺义区、广东省中山市,27.14亿,27.14亿
="",="002708",光洋股份,4.96%,3.63%,16.21%,3.87%,="1",="20",="19",09:32:18,09:32:18,5.43,1.88%,-5.73%,-3.31%,-3.87%,="1",490手,6.14%,卖出: 4天,---,卖出: 6天,RSI金叉 CCI买入信号 MTM金叉, 2天1板,军工 | 创投 | 新能源汽车 | 壳资源 | 印刷电路板 | 高端装备 | 年报预增,新一轮汽车下乡政策6月初有望出台，每辆车或补贴3000元-5000元。汽车精密轴承领先企业，拥有“NRB”和“天鸿”两个中国驰名商标；产品主要应用于汽车发动机、变速器、离合器等,22.08亿,26.72亿
="",="600099",林海股份,-2.48%,3.53%,42.93%,42.93%,="15",="21",="6",09:44:20,09:44:20,7.92,6.74%,-5.94%,1.26%,3.54%,="1",1539手,6.77%,买入: 11天,---,---,KDJ金叉 阶段新高 BIAS金叉 估值较高, 0天0板,乡村振兴 | 农机 | 专精特新 | 两轮车,国资委：继续加大优质资产注入上市公司力度。中国机械工业集团旗下，主营摩托车及特种车和动力及园林机械产品的生产制造,17.35亿,17.35亿
="",="002633",申科股份,1.92%,3.00%,6.18%,2.57%,="9",="22",="13",09:33:42,09:33:42,8.57,2.51%,-6.34%,-1.98%,-0.47%,="1",778手,7.94%,买入: 10天,---,---,---, 2天1板(1个一字板),壳资源,股权转让-公司控股股东何全波拟向北京终南山转让公司28.12%股份，实控人何建东拟向西藏腾云转让公司13.16%股份；本次股份转让事宜完成后，公司控制权将发生变更，北京终南山投资控股有限公司将成为公司控股股东，向军将成为公司实际控制人,12.81亿,12.86亿
="",="603776",永安行,-1.75%,2.94%,2.16%,-0.08%,="14",="23",="9",10:51:23,10:51:23,12.97,5.11%,-6.42%,-0.46%,0.00%,="2",1193手,2.77%,买入: 15天,---,---,KDJ金叉 MA(20日线支撑) 强势股 估值高, 0天0板,物联网 | 无人驾驶 | 新能源汽车 | 智能交通 | 芯片概念 | 融资融券 | 蚂蚁金服概念 | 燃料电池 | 共享单车 | 网约车 | 两轮车,公司发布股权激励计划；共享出行的出行方式除自行车、助力自行车、共享汽车外，还将增加网约车,30.12亿,30.28亿
="",="002486",嘉麟杰,10.14%,2.45%,15.36%,-3.41%,="23",="24",="1",09:25:00,09:25:00,2.93,2.09%,-6.98%,-1.02%,9.90%,="1",2372手,11.35%,卖出: 4天,买入: 9天,---,MTM金叉 估值较高, 0天0板,体育产业 | 冬奥会 | 医疗器械概念 | 口罩,露营热度达历史峰值。1、国内户外运动功能性面料领域的领先者；
2、公司作为北京冬奥会相关制服面料的供应商，按相关合同约定正常供货,24.38亿,24.38亿
="",="603183",建研院,1.06%,-2.66%,6.01%,-15.98%,="4",="25",="21",09:53:08,09:53:08,7.32,0.55%,-11.49%,3.14%,-4.10%,="1",8.98万手,28.23%,买入: 4天,卖出: 9天,卖出: 9天,估值较高, 0天0板,职业教育 | 海绵城市 | 建筑节能 | 资产重组 | 大基建 | 装配式建筑,张文宏：正为国内新冠口服药准备临床。公司间接参股新冠药VV116研发商之一的旺山旺水生物医药有限公司,29.42亿,30.55亿
