="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="600552",凯盛科技,6.28%,7.26%,40.42%,26.86%,="1",="8",="7",09:32:32,09:48:56,9.90,2.27%,-2.46%,-2.12%,2.02%,="2",6107手,9.59%,买入: 12天,---,---,估值合理, 0天0板,无线充电 | 新材料概念 | 融资融券 | OLED | 3D玻璃 | 华为概念 | 柔性屏,1、公司电熔氧化锆产品已连续多年保持全球行业龙头地位；公司拟投建超薄柔性玻璃(UTG)二期项目，形成1500万片/年的产能；
2、一季度净利润同比大增57.4%,75.62亿,75.62亿
="",="603919",金徽酒,0.16%,7.14%,19.62%,11.18%,-16,="9",="25",11:23:54,11:24:24,33.60,7.14%,-2.61%,-2.08%,-4.32%,="2",103手,3.98%,买入: 22天,买入: 5天,---,北向增仓 估值合理, 0天0板,沪股通 | 融资融券 | 白酒概念,蓝筹股集体反弹，多只行业龙头回踩年线，贵州茅台企稳。公司为甘肃浓香型白酒龙头，复星集团称将和甘肃省、陇南市携手把金徽酒做大做强,170.44亿,170.44亿
="",="600963",XD岳阳林,0.38%,7.03%,15.99%,11.53%,="6",="10",="4",10:50:27,10:53:06,5.63,8.90%,-2.76%,0.00%,5.15%,="2",8604手,5.34%,买入: 17天,买入: 4天,---,---, 0天0板,污水处理 | 碳交易 | 融资融券 | PPP概念 | 雄安新区 | 工业大麻 | 碳中和,全球最大纸浆生产商供应面临短缺。林纸一体化的央企龙头企业，在湖南、湖北、江西、广西4省拥有近200万亩林业基地，此前公司和壳牌签订碳汇交易合同，预计价格将得到大幅提升,99.37亿,101.59亿
="",="603937",丽岛新材,10.01%,7.03%,61.07%,17.18%,-24,="11",="35",09:25:03,14:52:18,16.14,5.01%,-2.71%,-9.91%,-9.98%,="3",296手,16.17%,卖出: 4天,---,---,估值合理, 6天5板(5个一字板),锂电池,公司拟在安徽五河县投建10亿元新能源电池集流体材料项目,33.71亿,33.71亿
T,="605305",中际联合,1.47%,6.71%,16.84%,15.28%,-11,="12",="23",13:10:52,13:12:19,44.39,8.32%,-2.99%,-0.52%,-3.49%,="2",0手,4.09%,买入: 15天,卖出: 3天,卖出: 3天,KDJ金叉 BIAS金叉 MTM金叉 多方炮 估值合理, 0天0板,风电 | 基金重仓 | 专精特新,国家能源局：截至4月底全国风电装机容量约3.4亿千瓦，同比增长17.7%。公司是国内高空安全作业设备龙头，具体产品主要是塔筒升降机、免爬器、助爬器，以及防护设备中的防坠落系统、爬梯、滑轨等，主要用于风力发电领域，全球前15大风机制造商已覆盖14家，另外国内五大电力集团全覆盖,47.17亿,67.38亿
="",="002025",航天电器,0.02%,6.59%,6.87%,6.58%,="5",="13",="8",10:39:42,10:39:42,65.30,7.37%,-3.10%,0.55%,1.45%,="1",1.64万手,1.86%,卖出: 6天,---,---,估值较高, 0天0板,智能穿戴 | 北斗导航 | 航天军工 | 深股通 | 军工 | 5G | 基金重仓 | 融资融券 | 华为概念 | 标普道琼斯A股,中俄空军举行联合空中战略巡航；国企改革推动行业资产证券化加速。中航科工集团旗下，航天十院唯一上市公司；航天连接器龙头，市场占比超过70%,295.52亿,295.59亿
="",="002679",福建金森,0.28%,6.45%,5.72%,2.82%,-8,="14",="22",10:03:03,10:18:36,11.55,6.45%,-3.27%,-1.47%,-3.20%,="2",747手,6.85%,买入: 17天,---,买入: 2天,估值较低, 0天0板,海峡两岸 | 碳中和,欧盟碳关税立法。公司经营区林地总面积近80万亩， 蓄积623.45万立方米,27.23亿,27.23亿
="",="002853",皮阿诺,0.28%,6.33%,6.96%,0.72%,-2,="15",="17",09:41:48,09:44:39,11.43,6.33%,-3.38%,-2.01%,-1.75%,="3",122手,10.50%,买入: 10天,---,---,MA(20日线支撑), 0天0板,电商 | 物联网 | 智能家居 | 恒大概念 | 粤港澳大湾区 | 养老金 | 回购概念 | 网红经济,公司为国内定制家具优质企业，此前曾供货恒大,13.08亿,21.32亿
="",="002646",天佑德酒,-0.11%,6.05%,10.12%,5.54%,-5,="16",="21",11:22:48,11:22:48,18.77,7.50%,-3.60%,-0.37%,-2.77%,="1",69手,7.16%,买入: 22天,---,---,北向增仓 估值合理, 0天0板,深股通 | 融资融券 | 白酒概念 | 网红经济,白酒“新国标”将从6月1日起开始实施，行业准入门槛提高。公司为青海地区优质白酒企业，一季报净利润同比增53.4%,88.69亿,88.70亿
="",="002937",兴瑞科技,1.26%,5.87%,25.90%,16.67%,-1,="17",="18",13:18:30,13:21:30,15.14,7.60%,-3.75%,-1.19%,-2.11%,="2",31手,2.35%,买入: 17天,---,---,估值较高, 0天0板,一带一路 | 智能制造 | 无人驾驶 | 5G | 智能家居 | 新能源汽车 | 汽车电子 | 特斯拉 | 虚拟现实 | 基金重仓 | 券商重仓 | 宁德时代概念 | 消费电子 | 新能源车零部件 | 超高清视频,乘用车购置税减免；下游车企加速复工复产。1、精密零组件制造企业；产品包括电子连接器、结构件、塑料外壳、镶嵌注塑件等，应用领域涵盖汽车电子；
2、公司在智能终端VR上有着多年的研发经验，积累了多项专利，主要为智能终端全球行业排名前十的客户提供VR配套的零部件产品，以出口为主,43.70亿,45.09亿
="",="600662",外服控股,1.93%,5.61%,27.72%,8.77%,="16",="18",="2",10:54:09,10:54:09,6.02,6.36%,-3.99%,2.16%,9.97%,="1",2468手,2.63%,卖出: 0天,卖出: 2天,---,估值较低 五星卖点, 0天0板,上海国企改革 | 智能交通 | 阿里巴巴概念 | 融资融券 | 汽车销售 | 资产重组 | 网约车 | 统一大市场,全国稳住经济大盘会议要求保就业。公司主营为综合人力资源服务,63.41亿,136.25亿
="",="603169",兰石重装,-0.14%,5.59%,12.07%,4.89%,="5",="19",="14",10:53:57,10:55:30,7.37,7.59%,-4.04%,-1.09%,-1.22%,="2",290手,5.14%,买入: 10天,---,---,估值较高, 0天0板,一带一路 | 核电 | 军工 | 融资融券 | 天然气 | 高端装备 | 煤化工,1、国内首家民用核级板式换热器生产企业；全焊式板式换热器填补了中国板式换热器行业的一项空白，宽通道焊接式板式换热器打破了国外公司对中国市场的垄断；
2、互动平台称，氢能源领域主要产品为加氢反应器等用氢装备、煤气化制氢装备，正在研发高压储氢装备（45Mpa/75Mpa）、高压气固组合储氢容器、POX造气制氢装置废热锅炉等,77.50亿,96.27亿
="",="000905",厦门港务,-0.62%,5.58%,17.24%,10.52%,="5",="20",="15",10:09:00,10:09:00,8.52,6.90%,-4.05%,-2.58%,-1.41%,="1",3754手,10.93%,买入: 15天,买入: 5天,---,估值较低, 0天0板,海峡两岸 | 一带一路 | 福建自贸区 | 跨境电商 | 融资融券 | 自由贸易港 | 年报预增 | 统一大市场,1、公司实控人厦门国资委，主营港口业务，厦门最大的港口码头运营商；
2、20年5月，控股股东厦门港务控股集团与中国远洋海运集团有限公司、中国旅游集团有限公司启动邮轮产业合作项目“云签约”，计划投资30亿元打造国内首个集免税购物,45.24亿,53.27亿
="",="002520",日发精机,3.58%,5.55%,9.63%,2.85%,-11,="21",="32",10:06:51,10:08:27,5.90,3.69%,-4.07%,-3.73%,-7.63%,="2",700手,10.04%,买入: 14天,---,---,估值高, 0天0板,一带一路 | 智能制造 | 工业4.0 | 机器人概念 | 军民融合 | 通用航空 | 资产重组 | 高端装备 | 工业母机,数控机床，产品数控化率100%，行业排名第一，产品平均无故障时间均在1000小时以上，远高于行业平均水平,38.99亿,50.91亿
="",="600679",上海凤凰,4.23%,5.36%,9.24%,2.18%,="11",="22",="11",09:32:54,09:32:54,10.22,2.20%,-4.22%,-0.78%,0.00%,="1",1633手,3.27%,买入: 14天,---,---,估值较低, 0天0板,电商 | 三胎概念 | 上海国企改革 | 金融改革 | 共享单车 | 资产重组 | 网络直播 | 医疗器械概念 | 地摊经济 | 中俄贸易 | 两轮车,公司为国内自行车行业中“老字号”企业，自行车海内外市场销量暴增，订单量远超产能,29.32亿,52.66亿
="",="600776",东方通信,0.00%,5.20%,28.29%,28.06%,="10",="23",="13",11:04:01,11:04:01,9.11,7.18%,-4.41%,-1.21%,-0.66%,="1",3445手,2.21%,买入: 9天,买入: 2天,---,CCI买入信号 多方炮 北向增仓 估值合理, 0天0板,信息安全 | 沪股通 | 5G | 融资融券 | 滴滴出行概念,工信部部长肖亚庆：要加快建设数字基础设施，全面推进5G网络。全资子公司杭州东信网络技术有限公司在5G的NB-IOT工程的网络优化、替换升级、搬迁方面与华为公司有一定合作，另外表示企业网与信息安全产业主要产品为PDT与TETRA制式专网通信产品,87.09亿,114.42亿
="",="603555",贵人鸟,-3.25%,5.03%,14.93%,2.09%,-5,="24",="29",09:45:12,09:45:12,3.55,8.56%,-4.57%,-1.97%,-6.48%,="1",3441手,5.38%,卖出: 6天,---,---,高成长 估值合理, 0天0板,体育产业 | 新零售 | 摘帽 | 参股保险 | 冰雪产业,年报披露高峰期渐进，扭亏*ST股即将摘帽。国内运动休闲服装小龙头，预计2021年净利润约3.52亿元，扭亏为盈,55.79亿,55.79亿
="",="600066",宇通客车,0.00%,5.02%,15.87%,11.10%,="15",="25",="10",10:19:07,10:20:55,8.57,8.21%,-4.57%,-3.15%,1.17%,="2",9469手,3.91%,买入: 15天,---,---,RSI金叉 BIAS金叉 估值合理, 0天0板,证金 | 无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | MSCI概念 | 标普道琼斯A股,新能源客车全球龙头企业；上半年实现客车销售20588辆，营收98.06亿元，净利润同比大增130%,189.73亿,189.73亿
="",="002347",泰尔股份,0.00%,4.52%,10.61%,4.55%,="10",="26",="16",10:42:00,10:44:51,4.16,7.22%,-5.02%,-1.68%,-1.44%,="2",284手,6.97%,买入: 71天,---,---,MTM金叉 MA(20日线支撑) 估值较高, 0天0板,军工 | 3D打印 | 创投 | 超级电容 | 机器人概念 | 新能源汽车 | 锂电池 | 动力电池回收,乘用车购置税减免；多地补贴汽车消费。持有子公司众迈科技51.40%的股份，众迈科技主要生产锂电池自动化注液设备,15.58亿,21.00亿
="",="600962",国投中鲁,-1.55%,4.47%,50.00%,28.93%,="26",="27",="1",10:53:57,10:53:57,10.75,6.12%,-5.04%,-0.56%,10.05%,="1",1267手,8.85%,卖出: 1天,卖出: 1天,买入: 0天,游资上榜, 0天0板,苹果期货 | 饮料,中航电子、中航机电两大军工央企宣布合并。国投集团旗下，集团为首批央企改革试点单位，公司主营浓缩果蔬汁的生产和销售,27.31亿,28.19亿
="",="600684",珠江股份,1.14%,4.27%,13.89%,3.06%,="23",="28",="5",09:38:47,09:38:47,3.66,4.27%,-5.18%,-1.64%,4.10%,="1",9140手,7.74%,买入: 29天,买入: 5天,---,---, 0天0板,土壤治理 | 养老概念 | 融资融券 | 粤港澳大湾区 | 家庭医生,首套房贷款利率下限调整。1、公司是深耕广州、湖南的优质地产商，实施养生养老地产战略，探索医疗与物业融合相嵌式的大健康管理模式；
2、公司拟培养以月子中心、医护康养为主的都市健康产业，力争在“十四五”建设时期形成一定规模,31.24亿,31.24亿
="",="600697",欧亚集团,0.66%,3.47%,6.19%,-3.56%,="17",="29",="12",09:31:59,09:32:32,14.03,2.78%,-5.97%,0.14%,-0.57%,="2",85手,5.69%,卖出: 7天,---,---,估值高, 0天0板,电商 | 新零售 | 地摊经济 | 免税店 | 中俄贸易,"1、公司主营商业零售，已形成覆盖现代百货、商业综合体、商超连锁三种核心业态模式；
2、 公司与""ROS-SNAB""有限责任公司、长春融达源科技有限公司共同设立了中外合资公司""长春春塔贸易有限公司""，开办了俄罗斯商品的首个连锁店""叶卡捷琳娜""",21.77亿,22.32亿
="",="600297",广汇汽车,10.14%,1.75%,36.36%,22.51%,-3,="30",="33",09:25:01,09:25:01,2.91,1.75%,-7.62%,-3.09%,-7.90%,="1",20.11万手,11.30%,卖出: 3天,---,买入: 1天,均线多头排列 BIAS金叉 估值合理, 3天2板(1个一字板),证金 | 充电桩 | 融资融券 | 恒大概念 | MSCI概念 | 汽车销售 | 低价股 | 大消费 | 回购概念 | 高商誉 | 标普道琼斯A股,1、中国最大的乘用车经销与服务集团、中国最具规模的豪华乘用车经销与服务集团、乘用车经销商中最大的融资租赁提供商及最大的二手车经销及交易代理服务实体集团；
2、此前与“极狐汽车”签订《战略合作框架协议》的公告，围绕ARCFOX极狐汽车销售及售后服务等，为ARCFOX极狐汽车用户提供销售及售后服务体验,236.03亿,236.03亿
="",="002790",瑞尔特,5.60%,1.58%,23.28%,13.77%,="1",="31",="30",09:31:45,09:31:45,7.08,5.67%,-7.69%,-4.24%,-6.78%,="1",6021手,9.90%,买入: 16天,---,---,估值合理, 2天1板,智能家居,《关于推进以县城为重要载体的城镇化建设的意见》印发。公司已有智能卫浴产能40万套，2022年一季度120万智能马桶项目逐步投产,18.25亿,29.60亿
="",="002703",浙江世宝,10.00%,-1.40%,13.64%,6.61%,="26",="32",="6",09:25:00,09:25:00,4.93,0.00%,-10.36%,-1.22%,2.03%,="1",7.92万手,4.66%,买入: 51天,---,---,MTM金叉, 0天0板,深股通 | 无人驾驶 | 新能源汽车 | 新能源车零部件 | 标普道琼斯A股,公司主营汽车转向器及其他转向系统关键零部件，是一汽、吉利、江淮汽车、东风汽车、中国重汽等大型汽车集团的一级配套商，此前互动平台称华为与公司在汽车转向领域有商谈合作,27.27亿,38.93亿
="",="002973",侨银股份,-1.44%,-3.60%,37.38%,7.82%,="13",="33",="20",09:35:15,09:35:15,13.40,0.22%,-12.36%,-9.93%,-2.46%,="1",2031手,15.79%,卖出: 2天,---,---,MA(20日线支撑) 估值较低, 3天2板(1个一字板),污水处理 | 环保 | PPP概念 | 乡村振兴 | 节能环保 | 数字乡村 | 垃圾分类 | 医疗废物处理 | 绿色电力,国务院办公厅印发《新污染物治理行动方案》。公司在环境卫生综合服务、环卫基础设施投资和管理、垃圾分类、厨余垃圾处理、土壤修复、黑臭水体修复、渗滤液及工业废水处理、园林施工及管养、市政道路及管网设施维护等多个公共领域具备较强的竞争优势,14.27亿,54.76亿
="",="000411",英特集团,10.01%,-5.77%,28.63%,3.59%,="7",="34",="27",09:25:00,09:25:00,12.89,2.96%,-14.35%,-0.08%,-4.81%,="1",2395手,8.61%,买入: 3天,---,---,估值较低, 2天1板,医药电商 | 医疗器械概念 | 冷链物流,1、浙江省医药流通行业区域龙头企业之一；
2、公司在医药冷链物流领域深耕多年，具有完善的医药冷链质量管理体系，自建医药冷库与冷链配送体系，可承接多种温控要求药品储运业务,26.74亿,32.93亿
="",="002277",友阿股份,10.05%,-6.54%,30.11%,17.40%,="11",="35",="24",09:25:00,09:25:00,4.00,0.76%,-15.07%,-3.50%,-3.75%,="1",18.90万手,19.01%,卖出: 4天,卖出: 27天,---,KDJ金叉 均线多头排列 强势股 估值高, 3天2板,农村电商 | 互联网金融 | 智能制造 | 互联网彩票 | 跨境电商 | 机器人概念 | 汇金 | 融资融券 | 新零售 | 腾讯概念 | 网络直播 | 乡村振兴 | 抖音 | 参股银行 | 金融科技 | 免税店,多家公司加速布局海南免税。湖南百货龙头，拥有“友阿中免美妆化妆品综合店”,55.77亿,55.77亿
="",="000757",浩物股份,9.51%,-7.19%,30.00%,3.75%,="5",="36",="31",09:30:12,09:30:12,4.39,1.39%,-15.58%,-10.02%,-7.06%,="1",7652手,17.57%,卖出: 4天,卖出: 4天,---,RSI金叉 BIAS金叉 MA(20日线支撑) 估值较低, 2天1板,新能源汽车 | 汽车销售 | 节能环保,乘用车购置税减免；下游车企加速复工复产。国内领先的汽车发动机曲轴生产商，另外拥有汽车销售等业务,22.44亿,29.18亿
="",="002571",德力股份,9.96%,-9.27%,45.60%,6.04%,="3",="37",="34",09:25:00,09:25:00,6.56,0.77%,-17.48%,-10.06%,-9.60%,="1",3605手,19.59%,卖出: 4天,---,---,BIAS金叉 MA(20日线支撑), 4天3板,光伏概念 | 创投 | 网络游戏 | 医疗器械概念 | 参股银行 | 拼多多,欧盟计划到2025年将光伏发电能力翻一番。公司目前蚌埠光伏玻璃在建日产1000吨，二期规划产能日产1000吨，公司所处的凤阳县为华东区域储量最大、品质最为稳定的石英矿资源所在地,19.57亿,25.71亿
