="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="603786",科博达,-0.91%,6.40%,28.05%,25.81%,="1",="19",="18",14:44:43,14:45:13,55.84,12.58%,-3.27%,1.06%,-2.33%,="2",9手,7.68%,买入: 83天,买入: 6天,---,均线多头排列 BIAS金叉 强势股 北向增仓 估值较高, 0天0板,沪股通 | 新能源汽车 | 汽车电子 | 基金重仓 | 新进指数 | 新能源车零部件 | 外资重仓 | 专精特新,乘用车购置税减免；下游车企加速复工复产。公司是汽车控制器领域龙头，国内少有的进入全球高端客户供应体系的零部件企业,22.39亿,223.42亿
="",="603136",天目湖,-1.10%,6.21%,26.09%,12.05%,="17",="20",="3",13:52:20,13:52:20,25.13,8.41%,-3.46%,-1.03%,4.34%,="1",310手,6.46%,卖出: 11天,买入: 5天,卖出: 12天,均线多头排列 估值高, 0天0板,基金重仓,疫后行业复苏预期；多个大使馆调整健康码申请。公司地处长三角，为区域旅游龙头，天目湖旅游度假区是国家5A级旅游景区,46.82亿,46.82亿
="",="601975",招商南油,0.00%,5.65%,25.00%,16.44%,="11",="21",="10",09:38:52,09:53:01,3.18,6.71%,-3.93%,-0.94%,-1.26%,="3",8.12万手,13.73%,买入: 20天,买入: 19天,买入: 2天,估值高, 0天0板,融资融券,公司为原长航油运重新恢复上市，招商局集团旗下从事油轮运输的专业公司,154.32亿,154.32亿
="",="600386",北巴传媒,1.11%,5.57%,26.15%,19.25%,="18",="22",="4",09:38:51,09:38:51,3.79,4.70%,-4.05%,-1.06%,4.22%,="1",9895手,3.63%,买入: 9天,买入: 5天,---,量能巨变 估值较低, 0天0板,充电桩 | 新能源汽车 | 智能交通 | 智能停车 | 融资融券 | 独角兽概念 | 汽车销售 | 汽车拆解,国常会：阶段性减征部分乘用车购置税600亿。旗下隆瑞三优已有125处充电站，711个公交充电桩和24个社会充电桩投入运营，主要为控股股东北京公交集团6378辆纯电动公交车和部分社会新能源车辆提供充电服务,30.56亿,30.56亿
="",="001288",运机集团,3.45%,5.38%,6.76%,-2.81%,-3,="23",="26",09:38:39,09:38:39,15.28,8.37%,-4.20%,0.07%,-4.32%,="1",390手,22.96%,卖出: 7天,---,买入: 6天,MTM金叉 看涨吞没 强势股 估值高, 0天0板,一带一路 | 次新股 | 核准制次新股 | 中俄贸易,公司专注于输送机械装备领域，专业从事以带式输送机为主的节能环保型输送机械成套设备的研产销，是物料输送系统解决方案的供应商,6.11亿,24.45亿
="",="003039",顺控发展,0.70%,4.90%,36.33%,14.36%,="18",="24",="6",09:39:12,09:39:12,22.50,7.04%,-4.66%,-2.22%,2.22%,="1",1266手,25.06%,卖出: 13天,卖出: 3天,卖出: 4天,北向增仓 估值较低, 4天2板,深股通 | 环保 | 融资融券 | 绿色电力,《关于推进以县城为重要载体的城镇化建设的意见》印发。前期次新股龙头；公司主营业务为自来水制售、供排水管网工程和垃圾焚烧发电，拥有顺德区供水特许经营权,27.57亿,138.94亿
="",="600135",乐凯胶片,1.36%,4.84%,17.25%,11.04%,="16",="25",="9",09:33:49,09:33:49,6.93,4.68%,-4.68%,-1.01%,-1.01%,="1",981手,3.12%,买入: 11天,买入: 4天,---,估值较高, 0天0板,光伏概念 | 京津冀一体化 | 锂电池 | 融资融券 | 雄安新区 | 医疗器械概念 | 柔性屏 | 年报预增,比亚迪新车销量火爆；斯诺威锂矿控股权争夺激烈，成交价超20亿。公司锂电涂层隔膜生产线扩建项目完成设备安装、调试、化工试车，将正式投入使用，9月份计划进行小批量生产,29.64亿,38.34亿
="",="002073",软控股份,0.58%,4.63%,8.16%,4.74%,="4",="26",="22",09:42:12,09:42:54,5.42,4.63%,-4.91%,-1.66%,-3.14%,="2",9172手,7.07%,买入: 14天,---,---,KDJ金叉 强势股 估值较低, 0天0板,智能制造 | 工业4.0 | 环保 | 新材料概念 | 汇金 | 融资融券 | 工业互联网 | 宁德时代概念 | 知识产权保护,软件龙头诚迈科技五连板；数字经济“互联网+”相关政策将出台，首届数字中国建设峰会将于4月22日至24日在福州海峡国际会展中心举行，是中国规模最大的国家级信息化会议。国内轮胎橡胶装备与系统龙头，为轮胎企业提供软硬结合、管控一体的智能化整体解决方案；前三季度净利润同比翻近3倍,50.62亿,51.68亿
="",="603725",天安新材,-1.52%,4.57%,11.42%,3.24%,="13",="27",="14",09:59:56,09:59:56,6.86,6.19%,-4.99%,0.00%,-1.75%,="1",30手,5.24%,买入: 10天,---,---,BIAS金叉 MA(20日线支撑) 强势股, 0天0板,创投 | 新能源汽车 | 新材料概念 | 资产重组 | 装配式建筑 | 专精特新,乘用车购置税减免；下游车企加速复工复产。公司专业从事高分子复合饰面材料的研产销，其中环保TPO汽饰材料应用于小鹏汽车P7系列车型；拟推2021年限制性股票激励计划,14.09亿,14.37亿
="",="603658",安图生物,-0.19%,3.92%,9.10%,-0.67%,="7",="28",="21",13:00:05,13:00:05,44.30,4.98%,-5.52%,-1.35%,-3.09%,="1",30手,1.27%,卖出: 12天,---,---,KDJ金叉 RSI金叉 估值较低, 0天0板,沪股通 | 体外诊断 | 融资融券 | MSCI概念 | 新进指数 | 医疗器械概念 | 标普道琼斯A股 | 新冠检测 | 幽门螺旋杆菌,欧美多国爆发猴痘病例。1、公司猴痘病毒核酸检测试剂盒（PCR-荧光探针法）产品获欧盟CE准入；
2、公司已取得新型冠状病毒（2019-nCoV）IgM抗体检测试剂盒（磁微粒化学发光法）和新型冠状病毒（2019-nCoV）IgG抗体检测试剂盒（磁微粒化学发光法）的《医疗器械注册证》,259.72亿,259.72亿
="",="000756",新华制药,-5.51%,2.87%,47.09%,4.88%,="28",="29",="1",14:14:57,14:14:57,31.90,14.09%,-6.48%,1.82%,10.00%,="1",19手,27.91%,卖出: 26天,买入: 10天,卖出: 2天,估值较高,23天16板(8个一字板),深股通 | 山东国企改革 | 医药电商 | 阿里巴巴概念 | 新零售 | 仿制药一致性评价 | 标普道琼斯A股 | 网红经济 | 辅助生殖 | 医美 | 幽门螺旋杆菌 | 新冠治疗,新三板创新层挂牌企业君实生物在发行境内创新药企业第一单私募双创可转债，也是境内至今规模最大的私募可转债。公司与河南真实生物科技有限公司签署《战略合作协议》，真实生物同意新华制药为其拥有的阿兹夫定等产品在中国及经双方同意的其他国家的产品生产商和经销商,139.19亿,213.61亿
T,="002363",隆基机械,5.56%,2.85%,20.36%,-1.31%,-1,="30",="31",09:30:06,09:30:06,6.85,7.03%,-6.55%,-9.93%,-9.93%,="1",1428手,19.73%,卖出: 5天,卖出: 5天,---,BIAS金叉 MA(20日线支撑) 估值较高, 0天0板,军工 | 工业4.0 | 新能源汽车 | 特斯拉 | 新能源车零部件,习主席博鳌论坛称，将放宽汽车外资股比限制和降低进口车关税。公司为国内规模最大、产品型号最多的汽车制动部件生产企业之一,28.48亿,28.50亿
="",="002943",宇晶股份,0.11%,0.33%,20.02%,6.03%,="1",="31",="30",09:59:54,10:21:36,46.30,5.76%,-8.80%,-2.81%,-8.66%,="2",2945手,35.67%,卖出: 3天,卖出: 5天,卖出: 5天,RSI金叉 MTM金叉 强势股 估值较高, 0天0板,光伏概念 | 智能制造 | 稀土永磁 | 基金重仓 | 券商重仓 | 年报预增 | 工业母机,欧盟计划到2025年将光伏发电能力翻一番。券商给出超高目标价；公司硬脆材料加工设备龙头，掌握切片设备+金刚线+工艺，布局HJT专用硅,31.06亿,46.30亿
