="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="600822",上海物贸,2.36%,7.82%,20.00%,6.43%,-25,="9",="34",10:10:18,10:30:28,10.06,10.19%,-1.95%,-3.38%,-5.77%,="4",94手,9.06%,卖出: 7天,---,卖出: 1天,高运营 估值较低, 0天0板,上海国企改革 | 上海自贸区 | 融资融券,上海市人民政府印发《上海市加快经济恢复和重振行动方案》。国企改革三年行动打响收官战；中航电子、中航机电两大军工央企宣布合并。公司实控人为上海国资委旗下的百联集团，主营汽车贸易、化工等生产资料的批发与零售业务,39.85亿,49.89亿
="",="000909",数源科技,2.48%,7.33%,60.74%,60.74%,="9",="10",="1",09:53:09,14:50:51,10.40,5.26%,-2.44%,3.85%,10.00%,="6",63手,26.82%,卖出: 5天,买入: 2天,---,阶段新高 均线多头排列 强势股 估值高,10天6板(3个一字板),车联网 | 智慧城市 | 物联网 | 充电桩 | 无人驾驶 | 5G | 智能交通 | 券商重仓 | 资产重组 | 消费电子 | 杭州亚运会 | 华为概念 | 超高清视频 | ETC | 云办公 | 共同富裕示范区 | 元宇宙 | 智慧政务,公司研发的适用于华为P50 Pro的双模“5G通信壳”发布,40.29亿,47.20亿
="",="600639",浦东金桥,1.39%,7.31%,3.61%,-8.79%,-21,="11",="32",10:18:57,13:22:56,15.41,7.69%,-2.47%,-2.01%,-4.22%,="10",2手,5.86%,卖出: 0天,---,---,高盈利 高成长 估值较低 五星卖点, 0天0板,沪股通 | 上海国企改革 | 证金 | 创投 | 上海自贸区 | 融资融券 | 白马股 | 标普道琼斯A股,上海市人民政府印发《上海市加快经济恢复和重振行动方案》。实控人为上海浦东国资委，主要从事上海金桥经济技术开发区的开发、运营和管理,131.02亿,172.96亿
="",="002971",和远气体,0.10%,7.13%,27.29%,18.19%,="7",="12",="5",13:00:06,13:03:39,21.65,9.01%,-2.61%,1.62%,5.54%,="4",347手,5.84%,买入: 16天,买入: 2天,---,估值合理, 0天0板,环保 | 基金重仓 | 燃料电池 | 天然气 | 集成电路概念,公司拟在宜昌高新技术产业开发区投资建设电子特气及功能性材料产业园项目，该项目总投资约50亿,22.85亿,34.64亿
="",="605577",龙版传媒,0.39%,7.03%,43.57%,26.30%,-14,="13",="27",14:31:17,14:31:32,13.86,8.54%,-2.74%,-5.27%,-2.24%,="2",146手,55.62%,买入: 8天,---,---,估值较低, 6天3板,次新股 | 在线教育 | 知识产权保护 | 黑龙江自贸区 | 核准制次新股,中办、国办印发《关于推进实施国家文化数字化战略的意见》。大型现代化综合性国有文化企业；公司旗下109家新华书店门店实现连锁经营，涵盖包括大中型书城、特色书店、专业书店等多种形式,6.16亿,61.60亿
="",="000657",中钨高新,-1.36%,6.94%,20.35%,17.95%,="3",="14",="11",13:20:00,13:20:00,13.40,8.50%,-2.76%,0.07%,0.97%,="1",3027手,4.79%,买入: 16天,---,买入: 12天,KDJ金叉 均线多头排列 强势股 北向增仓 估值较低, 0天0板,光伏概念 | 深股通 | 军工 | 工业4.0 | 创投 | 新材料概念 | 基金重仓 | 小金属概念 | 医疗器械概念 | 高端装备,国内规模最大的硬质合金企业，以钨为原料的硬质合金产品国内市占率50%；五矿集团钨资产整合平台，集团是国内最大的钨资源资产之一,126.99亿,143.90亿
="",="002520",日发精机,0.18%,6.79%,9.63%,2.85%,-6,="15",="21",09:31:39,09:31:39,5.82,6.59%,-3.00%,-2.75%,-1.37%,="1",13.84万手,9.03%,买入: 14天,---,---,估值高, 0天0板,一带一路 | 智能制造 | 工业4.0 | 机器人概念 | 军民融合 | 通用航空 | 资产重组 | 高端装备 | 工业母机,数控机床，产品数控化率100%，行业排名第一，产品平均无故障时间均在1000小时以上，远高于行业平均水平,38.46亿,50.22亿
="",="600600",青岛啤酒,4.02%,6.72%,11.68%,7.21%,="6",="16",="10",09:45:31,09:45:31,90.90,2.60%,-2.99%,0.11%,2.04%,="1",521手,2.30%,买入: 16天,---,---,北向增仓 估值较低, 0天0板,沪股通 | 山东国企改革 | 证金 | 基金重仓 | 融资融券 | 新零售 | MSCI概念 | 大消费 | 啤酒概念 | 超级品牌 | 标普道琼斯A股,多地出台促消费政策；白酒“新国标”将实施。国企改革三年行动打响收官战；国资重组转让将迎新规。实控人为青岛国资委旗下的青岛啤酒集团，公司是国内份额第二的啤酒厂商,632.59亿,1240.20亿
="",="600501",航天晨光,3.27%,6.45%,21.02%,15.81%,-12,="17",="29",11:29:07,14:04:53,12.37,4.56%,-3.21%,-2.18%,-2.51%,="2",1071手,10.43%,买入: 15天,---,---,估值较高, 2天1板,航天军工 | 核电 | 军工 | 大飞机 | 特高压 | 融资融券 | 垃圾分类,中航电子、中航机电两大军工央企宣布合并。公司为航天军工柔性管产品唯一指定生产商，是目前国内核安全级膨胀节、金属软管的唯一供应商,52.11亿,53.43亿
="",="002856",美芝股份,9.96%,6.44%,29.81%,19.35%,-5,="18",="23",09:30:03,09:40:39,12.07,6.25%,-3.21%,-4.31%,-1.49%,="5",1.74万手,20.36%,买入: 14天,---,买入: 0天,量能巨变, 2天1板(1个一字板),股权转让 | 垃圾分类,公司中标华为人才公寓精装修分包工程,11.78亿,16.33亿
="",="600277",亿利洁能,-0.19%,6.36%,20.53%,14.02%,="4",="19",="15",11:25:10,11:25:10,5.69,7.36%,-3.40%,2.81%,-0.35%,="1",5290手,8.00%,买入: 15天,---,---,估值较高, 0天0板,光伏概念 | 充电桩 | 风电 | 融资融券 | 资产重组 | 节能环保 | 煤化工 | 标普道琼斯A股 | 储能 | 绿色电力,欧盟计划到2025年将光伏发电能力翻一番。1、拟合计21亿元投资两光伏治沙项目，旗下库布其生态光伏项目是我国第一座因治沙而批建的创新生态光伏5.0体系的大型生态光伏电站；
2、公司持有宁波氢能创新中心有限公司10%股权；
3、现有PVC产能50万吨/年,202.60亿,202.60亿
="",="603159",上海亚虹,-0.12%,6.29%,25.10%,11.07%,-13,="20",="33",14:12:32,14:12:32,17.91,11.24%,-3.40%,-3.13%,-5.14%,="1",903手,10.06%,卖出: 7天,卖出: 1天,卖出: 2天,均线多头排列 估值高, 0天0板,特斯拉,工信部：组织新一轮新能源汽车下乡活动。公司有部分汽车零部件产品间接供货给特斯拉,25.07亿,25.07亿
="",="600707",彩虹股份,3.23%,6.22%,9.91%,2.07%,-10,="21",="31",09:38:13,09:44:22,4.61,3.36%,-3.35%,-3.47%,-3.25%,="4",1272手,4.27%,买入: 3天,---,---,估值合理, 0天0板,新材料概念 | 融资融券 | OLED | 柔性屏,公司液晶面板主要产品出货量大幅提高，上半年净利润创历史新高,114.09亿,165.42亿
="",="002229",鸿博股份,-0.57%,6.08%,19.89%,7.99%,="19",="22",="3",13:30:39,13:30:39,5.58,6.69%,-3.63%,-2.15%,10.04%,="1",809手,6.35%,卖出: 7天,买入: 2天,---,---, 0天0板,互联网彩票 | 体育产业 | 机器人概念 | 融资融券 | 区块链,中国彩票印刷行业龙头，同时具有体彩和福彩印刷资格,27.80亿,27.81亿
="",="600973",宝胜股份,0.69%,5.96%,16.79%,13.63%,="3",="23",="20",10:02:29,10:02:29,4.62,7.44%,-3.75%,-0.43%,-1.30%,="1",5568手,4.37%,买入: 15天,---,---,KDJ金叉, 0天0板,光伏概念 | 核电 | 大飞机 | 智能电网 | 特斯拉 | 高铁 | 恒大概念 | 标普道琼斯A股,中国航空工业集团旗下，电力电气业务平台，主营电线电缆及其相关产品的生产、研发及销售,57.84亿,63.36亿
="",="600198",大唐电信,0.58%,5.95%,7.98%,7.55%,="12",="24",="12",09:41:54,09:41:54,7.30,5.95%,-3.69%,-0.68%,0.96%,="1",2209手,3.97%,买入: 10天,---,---,强势股, 0天0板,车联网 | 智能穿戴 | 智慧城市 | 北斗导航 | 移动支付 | 物联网 | 手机游戏 | 创投 | 5G | 云计算 | 芯片概念 | 摘帽 | 资产重组 | 集成电路概念 | 业绩爆雷,台积电、三星晶圆代工筹划涨价。1、公司在可信识别芯片领域保持国内领先地位，在汽车电子芯片细分领域拥有领先的技术和产品，在通信芯片领域无人机芯片大量应用于国内外市场龙头产品；
2、二代身份证芯片出货稳定，市场占有率超过25%；,64.27亿,95.90亿
="",="600267",海正药业,-1.34%,5.87%,21.21%,-3.71%,-3,="25",="28",10:42:52,10:42:52,14.96,10.73%,-3.73%,-0.74%,-2.41%,="1",3523手,6.42%,卖出: 7天,---,卖出: 1天,估值较低, 0天0板,融资融券 | 禽流感 | MSCI概念 | 资产重组 | 超级真菌 | 动物疫苗 | 青蒿素 | 仿制药一致性评价 | 流感 | 新冠治疗,公司和旺实生物签订了《战略合作协议》及《委托生产框架协议》，双方拟在小分子创新药VV116的产品加工、生产、国际注册、市场开发等领域建立战略合作关系,165.89亿,179.32亿
="",="000903",云内动力,0.36%,5.73%,12.04%,10.22%,="7",="26",="19",11:08:12,11:11:21,2.95,6.88%,-3.91%,-2.03%,-1.02%,="2",3333手,3.80%,买入: 11天,---,---,小步上扬 CCI买入信号 北向增仓, 0天0板,移动支付 | 人脸识别 | 深股通 | 混改 | 充电桩 | 新能源汽车 | 汽车电子 | 融资融券 | 乡村振兴 | 农机,工信部：组织新一轮新能源汽车下乡活动；龙头十二连板。公司主营发动机产品，包括商用车柴油发动机、乘用车柴油发动机、非道路柴油发动机及天然气发动机，其中多缸小缸径柴油发动机在国内同行业中处于领先地位,58.14亿,58.14亿
="",="002587",奥拓电子,0.74%,5.68%,14.22%,10.29%,="9",="27",="18",09:39:03,09:39:03,4.28,4.90%,-4.04%,-4.21%,-0.93%,="1",5373手,6.48%,买入: 10天,---,---,估值高, 0天0板,智慧城市 | 机器人概念 | 节能照明 | 虚拟现实 | 区块链 | 无人银行 | 金融科技 | Mini LED | 元宇宙 | 虚拟数字人,淘宝618将上线元宇宙购物；元宇宙共识大会召开在即。旗下创想数维通过XR虚拟数字内容制作技术打造沉浸式空间和虚拟人,19.66亿,27.91亿
="",="603097",江苏华辰,-3.34%,5.38%,62.71%,41.38%,-9,="28",="37",13:13:56,13:14:38,29.00,9.19%,-4.20%,-1.34%,-7.97%,="2",1717手,73.88%,---,---,---,估值高,13天10板(9个一字板),光伏概念 | 次新股 | 充电桩 | 风电 | 智能电网 | 核准制次新股 | 储能,公司专业从事输配电及控制设备的研产销，主要产品包含干式变压器、油浸式变压器、箱式变电站及电气成套设备等
,11.60亿,46.40亿
="",="600662",外服控股,7.40%,5.14%,27.72%,8.77%,-9,="29",="38",09:55:32,09:58:17,6.96,4.35%,-4.40%,-3.74%,-8.05%,="2",1961手,7.67%,卖出: 0天,卖出: 2天,---,估值较低 五星卖点, 2天1板,上海国企改革 | 智能交通 | 阿里巴巴概念 | 融资融券 | 汽车销售 | 资产重组 | 网约车 | 统一大市场,全国稳住经济大盘会议要求保就业。公司主营为综合人力资源服务,73.31亿,158.92亿
="",="603976",正川股份,0.04%,5.11%,10.84%,3.90%,="8",="30",="22",10:28:00,10:28:00,23.64,6.06%,-4.45%,1.52%,-1.48%,="1",56手,2.28%,买入: 8天,---,---,MTM金叉 MA(20日线支撑) 估值较低, 0天0板,医疗器械概念,药用玻璃管制瓶细分行业的龙头企业之一，一季度净利润同比增长30.7%,35.74亿,35.74亿
="",="600345",长江通信,0.95%,4.60%,17.09%,16.03%,="25",="31",="6",09:36:48,09:36:48,15.47,3.97%,-4.92%,-2.20%,5.17%,="1",7154手,2.96%,买入: 17天,买入: 2天,---,高成长 估值较低, 0天0板,北斗导航 | 5G | 智能交通 | 融资融券 | 资产重组 | 标普道琼斯A股,工信部部长肖亚庆：要加快建设数字基础设施，全面推进5G网络。公司为卫星（北斗）导航及位置服务技术重要提供商，公司持有长飞光纤光缆15.82%股权，标的是世界领先的光纤预制棒、光纤及光缆供应商之一,30.63亿,30.63亿
="",="000702",正虹科技,1.18%,4.53%,16.22%,9.98%,="18",="32",="14",09:36:30,09:36:30,5.31,3.71%,-5.01%,-1.13%,0.19%,="1",2214手,9.29%,买入: 11天,---,---,---, 0天0板,猪肉 | 阿里巴巴概念,公司主营业务为研发生产销售饲料产品，产品包括畜、禽、水产三大系列，在生猪“母子料”研究方面在同行业中具有一定的专业技术优势,14.16亿,14.16亿
="",="603136",天目湖,-0.86%,3.45%,26.09%,12.05%,="7",="33",="26",09:47:24,09:51:54,27.55,4.91%,-5.94%,-2.61%,-2.00%,="2",406手,8.43%,卖出: 11天,买入: 5天,卖出: 12天,均线多头排列 估值高, 0天0板,基金重仓,疫后行业复苏预期；多个大使馆调整健康码申请。公司地处长三角，为区域旅游龙头，天目湖旅游度假区是国家5A级旅游景区,51.32亿,51.32亿
="",="002793",罗欣药业,6.31%,3.04%,13.22%,-3.25%,-2,="34",="36",09:54:51,09:54:51,8.82,6.39%,-6.37%,-2.04%,-7.48%,="1",357手,7.79%,买入: 4天,---,---,估值较高, 2天1板(1个一字板),深股通 | 民营医院 | 医疗器械概念 | 仿制药一致性评价 | 流感 | 幽门螺旋杆菌,公司拟回购注销3.71亿股补偿股份,43.58亿,129.10亿
="",="002213",大为股份,3.43%,0.55%,37.56%,26.54%,="28",="35",="7",09:44:51,09:44:51,12.89,3.70%,-8.58%,-2.95%,3.41%,="1",828手,12.79%,买入: 12天,---,---,估值较低, 3天2板,创投 | 芯片概念 | 集成电路概念 | 新能源车零部件 | 年报预增,工信部：组织新一轮新能源汽车下乡活动。公司主营汽车缓速器，签署商标授权许可合同，目前正在积极进行非公开发行股票相关资料准备等工作,26.55亿,26.55亿
="",="000554",泰山石油,9.93%,-2.40%,22.05%,7.22%,="28",="36",="8",09:30:00,09:30:00,5.70,0.35%,-11.21%,0.35%,3.33%,="1",3.23万手,24.51%,买入: 17天,---,---,估值较高, 2天1板,可燃冰 | 融资融券 | 天然气 | 俄乌冲突概念,原油价格大涨；龙头中国海油创新高。1、中国石化旗下，山东省泰安市成油品、车用天然气的最大经销商，主营成品油批发零售；
2、公司与东原发展等签署战略合作协议，合作内容包括加油加气加氢站建设；共建生态新能源补给站；打造油气氢电服综合加能站；氢能应用示范基地等,20.67亿,27.41亿
="",="000798",中水渔业,1.65%,-2.94%,42.96%,26.61%,="35",="37",="2",09:31:48,09:31:48,10.57,1.34%,-11.77%,-2.46%,10.03%,="1",1.92万手,17.02%,买入: 13天,卖出: 0天,卖出: 0天,五星卖点, 5天3板,参股保险 | 预制菜,龙头深深宝A两连板，中粮生化（燃料乙醇）等涨停。中国农业发展集团旗下，主营远洋水产品，有金枪鱼饺子、金枪鱼圈等预制食品,33.76亿,33.77亿
="",="000404",长虹华意,9.93%,-8.39%,44.59%,19.82%,="3",="38",="35",09:25:00,09:25:00,5.35,1.71%,-16.67%,-6.54%,-6.17%,="1",1.46万手,21.65%,卖出: 2天,---,---,估值较低, 4天3板(1个一字板),工业4.0 | 机器人概念 | 智能家居 | 新能源汽车 | 锂电池 | 融资融券 | 冷链物流 | 节能环保,工信部：组织新一轮新能源汽车下乡活动。全球压缩机龙头，旗下上海威乐公司生产的电动涡旋压缩机，给新能源汽车空调配套,37.22亿,37.24亿
="",="002883",中设股份,6.17%,-9.98%,29.76%,-16.13%,="0",="39",="39",09:33:48,10:40:39,18.23,0.00%,-18.18%,-9.98%,-9.98%,="7",299手,55.31%,卖出: 8天,---,卖出: 2天,机构上榜 机构净买入 多家机构买入 估值较高,15天8板,PPP概念 | 雄安新区 | 资产重组 | 大基建 | 回购概念 | 新型城镇化 | 方舱医院,《关于推进以县城为重要载体的城镇化建设的意见》印发。现代科技型工程咨询企业，业务覆盖交通、市政、建筑、环境等多个领域,17.19亿,23.75亿
