--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20220304--英特集团**000411.SZ
--筹码突破  成功了--20220304--南华生物**000504.SZ
--筹码突破  成功了--20220304--贝瑞基因**000710.SZ
--筹码突破  成功了--20220304--中广核技**000881.SZ
--筹码突破  成功了--20220304--重药控股**000950.SZ
--筹码突破  成功了--20220304--天奇股份**002009.SZ
--筹码突破  成功了--20220304--悦心健康**002162.SZ
--筹码突破  成功了--20220304--北化股份**002246.SZ
--筹码突破  成功了--20220304--长江健康**002435.SZ
--筹码突破  成功了--20220304--嘉事堂**002462.SZ
--筹码突破  成功了--20220304--榕基软件**002474.SZ
--筹码突破  成功了--20220304--中坚科技--强势股票**002779.SZ
--筹码突破  成功了--20220304--赛隆药业**002898.SZ
--筹码突破  成功了--20220304--宁波联合**600051.SH
--筹码突破  成功了--20220304--长城电工**600192.SH
--筹码突破  成功了--20220304--开开实业**600272.SH
--筹码突破  成功了--20220304--昂立教育**600661.SH
--筹码突破  成功了--20220304--祥龙电业**600769.SH
--筹码突破  成功了--20220304--云煤能源**600792.SH
--筹码突破  成功了--20220304--宁波海运**600798.SH
--筹码突破  成功了--20220304--第一医药--强势股票**600833.SH
--筹码突破  成功了--20220304--江南水务--强势股票**601199.SH
--筹码突破  成功了--20220304--爱婴室**603214.SH
--筹码突破  成功了--20220304--柳药股份**603368.SH
--筹码突破  成功了--20220304--美诺华**603538.SH
--筹码突破  成功了--20220228--恒林股份**603661.SH
--筹码突破  成功了--20220304--大理药业**603963.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.6--大于7个----中广核技**000881.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.93--大于7个----重药控股**000950.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.71--大于7个----悦心健康**002162.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=13.02--大于7个----嘉事堂**002462.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=6.98--大于7个----榕基软件**002474.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=33.54--金达威**002626.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=17.3--大于7个----中坚科技--强势股票**002779.SZ
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=7.35--大于7个----宁波联合**600051.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=11.96--山煤国际**600546.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=12.19--大于7个----浦东金桥**600639.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.6--大于7个----昂立教育**600661.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=6.28--大于7个----祥龙电业**600769.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.09--大于7个----宁波海运**600798.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=10.69--第一医药--强势股票**600833.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=27.37--爱婴室**603214.SH
--筹码突破看日线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.89--大理药业**603963.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=16.89--英特集团**000411.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=17.41--大于7个----南华生物**000504.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=21.76--贝瑞基因**000710.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.6--大于7个----中广核技**000881.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.93--大于7个----重药控股**000950.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.71--大于7个----悦心健康**002162.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=8.32--大于7个----北化股份**002246.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=13.02--大于7个----嘉事堂**002462.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=6.98--大于7个----榕基软件**002474.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=33.54--金达威**002626.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=17.3--大于7个----中坚科技--强势股票**002779.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=7.35--大于7个----宁波联合**600051.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=11.96--山煤国际**600546.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=12.19--大于7个----浦东金桥**600639.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.6--大于7个----昂立教育**600661.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=6.28--大于7个----祥龙电业**600769.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=4.09--大于7个----宁波海运**600798.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=10.69--第一医药--强势股票**600833.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=6.0--大于7个----江南水务--强势股票**601199.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=27.37--爱婴室**603214.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=23.37--柳药股份**603368.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.89--大理药业**603963.SH
--筹码突破看日线看周线--20190416----持仓量_周线 看周线 然后看日线--开始=20190125-结束=20190404--中间值=4.3--大于7个----code_name is null-300292.SZ**300292.SZ
--筹码突破看日线看周线--20190416----持仓量_周线 看周线 然后看日线--开始=20190125-结束=20190404--中间值=4.3--大于7个----code_name is null-300292.SZ**300292.SZ
--筹码突破看日线看周线--20190416----持仓量_周线 看周线 然后看日线--开始=20190125-结束=20190404--中间值=4.3--大于7个----code_name is null-300292.SZ**300292.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=9.81--大于7个----国光股份**002749.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=9.81--大于7个----国光股份**002749.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220216----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.94--大于7个----恒久科技**002808.SZ
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=9.81--大于7个----国光股份**002749.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=20.73--大于7个----华海药业**600521.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=6.96--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211203-结束=20220211--中间值=20.73--大于7个----华海药业**600521.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=20.73--大于7个----华海药业**600521.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=20.73--大于7个----华海药业**600521.SH
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=7.55--大于7个----黑牡丹**600510.SH
--筹码突破看日线看周线--20220207----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=6.17--浙江交科**002061.SZ
--筹码突破看日线看周线--20220208----持仓量_周线 看周线 然后看日线--开始=20211126-结束=20220128--中间值=10.26--大于7个----成都燃气**603053.SH
--筹码突破看日线看周线--20220218----持仓量_周线 看周线 然后看日线--开始=20211210-结束=20220218--中间值=20.73--大于7个----华海药业**600521.SH
--筹码突破看日线看周线--20220111----持仓量_周线 看周线 然后看日线--开始=20211105-结束=20220107--中间值=9.52--中路股份**600818.SH
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=16.82--英特集团**000411.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=17.41--大于7个----南华生物**000504.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=9.6--大于7个----中广核技**000881.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=4.93--大于7个----重药控股**000950.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=7.71--悦心健康**002162.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=8.39--大于7个----北化股份**002246.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=13.03--大于7个----嘉事堂**002462.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=6.98--大于7个----榕基软件**002474.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=33.54--金达威**002626.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=15.76--跃岭股份**002725.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=29.92--中坚科技--强势股票**002779.SZ
--筹码突破看日线看周线--20220304----持仓量_周线 看周线 然后看日线--开始=20211224-结束=20220304--中间值=20.51--大于7个----元隆雅图**002878.SZ
