xxxx,00_测试定时任务,"下载数据开始=20220323--,codename null---小树股票池**000001.SZ"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=15.88--周数=7--换手率,161.8--流通市值,103.8亿--,软件服务,华软科技**002453.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.86--周数=9--换手率,108.9--流通市值,32.5亿--,化工原料,宝莫股份**002476.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=33.62--周数=6--换手率,220.2--流通市值,194.0亿--,电气设备,大金重工**002487.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.57--周数=6--换手率,139.0--流通市值,67.9亿--,家居用品,浙江永强**002489.SZ"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.87--周数=10--换手率,169.7--流通市值,25.4亿--,仓储物流,恒基达鑫**002492.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.68--周数=6--换手率,38.4--流通市值,147.4亿--,电气设备,汉缆股份**002498.SZ"
a72,神2pro,"--不是横盘-----神2pro  成功了---涨停板日期20220228 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.91--周数=9--换手率,640.5--流通市值,145.5亿--,汽车配件,海联金汇**002537.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.0--周数=6--换手率,175.0--流通市值,34.4亿--,通信设备,春兴精工**002547.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=3.82--周数=7--换手率,347.8--流通市值,30.1亿--,石油开采,惠博普**002554.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.38--周数=8--换手率,138.6--流通市值,42.1亿--,铝,闽发铝业**002578.SZ"
a31,建仓破绽,"--建仓破绽  成功了--20220310--持仓量_周线开始=20211224-结束=20220304--中间值=3.54--周数=6--换手率,388.6--流通市值,98.1亿--,电气设备,首航高科**002665.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=3.53--周数=6--换手率,331.5--流通市值,98.1亿--,电气设备,首航高科**002665.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=28.1--周数=8--换手率,49.3--流通市值,169.0亿--,化工原料,广东宏大**002683.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=3.3--周数=9--换手率,98.1--流通市值,37.7亿--,运输设备,远大智能**002689.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.05--周数=10--换手率,110.2--流通市值,21.2亿--,专用机械,冀凯股份**002691.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.05--周数=10--换手率,110.2--流通市值,21.2亿--,专用机械,冀凯股份**002691.SZ"
b8,龙战于野,"阴线实体大于3.6最好:4.21-----龙战于野----20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.05--周数=10--换手率,110.2--流通市值,21.2亿--,专用机械,冀凯股份**002691.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.58--周数=8--换手率,47.1--流通市值,31.2亿--,装修装饰,东易日盛**002713.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.91--周数=7--换手率,90.9--流通市值,19.6亿--,建筑工程,文科园林**002775.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.23--周数=7--换手率,135.1--流通市值,21.4亿--,通信设备,世嘉科技--强势股票**002796.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.23--周数=7--换手率,135.1--流通市值,21.4亿--,通信设备,世嘉科技--强势股票**002796.SZ"
a3,筹码突破,"筹码突破--20220323--,元器件,崇达技术**002815.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=18.14--周数=8--换手率,165.6--流通市值,20.2亿--,专用机械,和科达**002816.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=12.55--周数=7--换手率,55.5--流通市值,13.6亿--,通信设备,瀛通通讯**002861.SZ"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=14.44--周数=6--换手率,93.4--流通市值,21.0亿--,通信设备,金溢科技**002869.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=32.63--周数=7--换手率,130.7--流通市值,20.6亿--,汽车配件,香山股份--强势股票**002870.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=13.08--周数=8--换手率,150.9--流通市值,17.5亿--,元器件,铭普光磁**002902.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=14.1--周数=7--换手率,153.7--流通市值,45.7亿--,化学制药,华森制药**002907.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=15.39--周数=6--换手率,129.5--流通市值,11.3亿--,电气设备,日丰股份**002953.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=14.13--周数=7--换手率,16.7--流通市值,149.2亿--,园区开发,中国国贸**600007.SH"
a31,建仓破绽,"--建仓破绽  成功了--20220310--持仓量_周线开始=20211224-结束=20220304--中间值=19.5--周数=7--换手率,260.6--流通市值,112.7亿--,中成药,太极集团**600129.SH"
a3,筹码突破,"筹码突破--20220323--,文教休闲,中体产业**600158.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=3.13--周数=10--换手率,292.4--流通市值,29.6亿--,区域地产,大龙地产**600159.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.73--周数=6--换手率,30.6--流通市值,42.4亿--,全国地产,卧龙地产**600173.SH"
a3,筹码突破,"筹码突破--20220323--,电气设备,长城电工**600192.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=11.88--周数=7--换手率,128.0--流通市值,48.5亿--,农用机械,全柴动力**600218.SH"
a61,神1pro,"--神 1pro成功了--涨停板日期:20220316--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.84--周数=7--换手率,166.2--流通市值,43.6亿--,元器件,铜峰电子**600237.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=13.74--周数=8--换手率,142.7--流通市值,174.3亿--,化学制药,海正药业**600267.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=9.71--周数=6--换手率,705.3--流通市值,20.6亿--,医药商业,开开实业**600272.SH"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=2.1--周数=9--换手率,114.0--流通市值,26.3亿--,区域地产,天房发展**600322.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.34--周数=7--换手率,88.7--流通市值,107.1亿--,汽车配件,国机汽车**600335.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=7.69--周数=7--换手率,152.4--流通市值,31.2亿--,农业综合,新农开发**600359.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=24.55--周数=6--换手率,79.3--流通市值,120.4亿--,元器件,联创光电**600363.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.97--周数=6--换手率,57.5--流通市值,56.6亿--,汽车整车,汉马科技**600375.SH"
a73,神3,"--神3--涨停日期:20220321--持仓量_周线开始=20220107-结束=20220318--中间值=8.97--周数=6--换手率,57.5--流通市值,56.6亿--,汽车整车,汉马科技**600375.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.78--周数=7--换手率,52.8--流通市值,46.5亿--,运输设备,晋西车轴**600495.SH"
a3,筹码突破,"筹码突破--20220323--,通信设备,烽火通信**600498.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.81--周数=6--换手率,282.7--流通市值,17.8亿--,机械基件,文一科技**600520.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=13.12--周数=6--换手率,159.5--流通市值,83.2亿--,中成药,康缘药业**600557.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=2.48--周数=9--换手率,60.6--流通市值,65.0亿--,全国地产,迪马股份**600565.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=4.23--周数=9--换手率,28.7--流通市值,110.8亿--,区域地产,城投控股**600649.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=3.93--周数=10--换手率,38.5--流通市值,149.4亿--,全国地产,信达地产**600657.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.49--周数=7--换手率,70.0--流通市值,115.0亿--,农药化肥,阳煤化工**600691.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=12.57--周数=8--换手率,134.8--流通市值,19.3亿--,百货,欧亚集团**600697.SH"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=4.5--周数=7--换手率,92.3--流通市值,50.2亿--,区域地产,凤凰股份**600716.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.92--周数=9--换手率,28.8--流通市值,77.7亿--,全国地产,上实发展**600748.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=14.0--周数=6--换手率,187.9--流通市值,37.9亿--,商贸代理,东方银星**600753.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=30.67--周数=6--换手率,186.4--流通市值,168.7亿--,中成药,广誉远**600771.SH"
a3,筹码突破,"筹码突破--20220323--,通信设备,东方通信**600776.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.06--周数=8--换手率,38.7--流通市值,51.0亿--,建筑工程,同济科技**600846.SH"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.1--周数=7--换手率,146.2--流通市值,26.2亿--,家用电器,春兰股份**600854.SH"
a72,神2pro,"--不是横盘-----神2pro  成功了---涨停板日期20220225 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.93--周数=6--换手率,74.7--流通市值,46.5亿--,百货,百大集团**600865.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=6.58--周数=9--换手率,145.7--流通市值,57.1亿--,农业综合,福成股份**600965.SH"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.32--周数=6--换手率,115.1--流通市值,60.5亿--,电气设备,宝胜股份--强势股票**600973.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.41--周数=6--换手率,401.3--流通市值,51.7亿--,供气供热,宁波能源**600982.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.19--周数=9--换手率,64.6--流通市值,48.5亿--,机械基件,晋亿实业**601002.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.22--周数=8--换手率,123.2--流通市值,50.3亿--,电气设备,吉鑫科技--强势股票**601218.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.05--周数=8--换手率,63.0--流通市值,69.6亿--,建筑工程,华电重工--强势股票**601226.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.48--周数=7--换手率,247.9--流通市值,65.0亿--,电气设备,风范股份**601700.SH"
a3,筹码突破,"筹码突破--20220323--,建筑工程,宁波建工**601789.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=6.6--周数=8--换手率,45.4--流通市值,78.6亿--,装修装饰,江河集团**601886.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=3.68--周数=9--换手率,151.5--流通市值,22.4亿--,装修装饰,全筑股份**603030.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=14.33--周数=7--换手率,177.0--流通市值,34.7亿--,通信设备,剑桥科技**603083.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=13.6--周数=8--换手率,92.3--流通市值,72.5亿--,电气设备,芯能科技**603105.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=11.31--周数=7--换手率,92.4--流通市值,74.7亿--,医药商业,润达医疗**603108.SH"
b3,见龙在田5,"--见龙在田5--20220321--,汽车配件,福达股份**603166.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=17.49--周数=10--换手率,93.5--流通市值,44.1亿--,塑料,上海天洋**603330.SH"
a6,神1,"--神 1 成功了--涨停板日期:20220310--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=17.49--周数=10--换手率,93.5--流通市值,44.1亿--,塑料,上海天洋**603330.SH"
a3,筹码突破,"筹码突破--20220323--,小金属,吉翔股份**603399.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=16.4--周数=6--换手率,38.9--流通市值,29.7亿--,房产服务,南都物业**603506.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=10.8--周数=7--换手率,57.0--流通市值,29.6亿--,铜,众源新材**603527.SH"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.95--周数=10--换手率,52.4--流通市值,33.3亿--,仓储物流,畅联股份**603648.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.6--周数=7--换手率,59.3--流通市值,38.4亿--,通信设备,苏州科达**603660.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=11.2--周数=9--换手率,155.9--流通市值,56.8亿--,饲料,天马科技**603668.SH"
d3,阴错阳差,"--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=20.8--周数=6--换手率,88.6--流通市值,23.6亿--,元器件,沃格光电--强势股票**603773.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=15.3--周数=6--换手率,79.2--流通市值,37.0亿--,公共交通,永安行**603776.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=11.26--周数=6--换手率,60.1--流通市值,22.7亿--,石油加工,康普顿**603798.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=38.67--周数=7--换手率,57.5--流通市值,55.3亿--,专用机械,能科科技**603859.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=27.49--周数=7--换手率,112.8--流通市值,27.9亿--,专用机械,天永智能**603895.SH"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=31.74--周数=7--换手率,42.7--流通市值,152.3亿--,白酒,金徽酒**603919.SH"
a31,建仓破绽,"--建仓破绽  成功了--20220310--持仓量_周线开始=20211224-结束=20220304--中间值=5.47--周数=10--换手率,49.7--流通市值,36.2亿--,出版业,读者传媒**603999.SH"
a61,神1pro,"--神 1pro成功了--涨停板日期:20220316--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.47--周数=9--换手率,82.9--流通市值,36.2亿--,出版业,读者传媒**603999.SH"
